"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2024","Abilene Christian",70.536,65,68.5173,114,99.0523,294,101.55,260,103.331,126,105.583,162,-4.03356,214
"2024","Air Force",63.4044,355,61.85,359,103.451,219,106.06,179,113.982,346,113.168,322,-7.10811,260
"2024","Akron",66.7263,274,65.9559,270,107.361,130,106.883,165,100.275,54,102.143,99,4.73974,118
"2024","Alabama",74.4356,6,72.9719,7,121.995,2,125.648,3,108.255,257,103.389,117,22.2584,15
"2024","Alabama A&M",71.7111,39,70.5647,42,95.9575,331,94.1482,346,104.979,178,108.576,224,-14.428,324
"2024","Alabama St.",69.0655,138,67.1236,200,93.9542,347,93.0285,352,100.59,62,105.358,158,-12.3299,312
"2024","Albany",74.333,7,73.0395,6,104.457,199,105.29,198,106.215,213,111.089,280,-5.79829,243
"2024","Alcorn St.",68.329,188,66.4194,247,105.142,183,106.388,172,113.272,341,116.612,354,-10.224,294
"2024","American",62.915,359,62.7943,355,106.303,151,103.538,227,106.857,226,113.924,334,-10.3858,296
"2024","Appalachian St.",68.6858,158,66.963,214,109.532,92,108.471,137,97.3208,19,98.4625,35,10.009,81
"2024","Arizona",73.471,10,72.1243,16,117.136,13,120.608,9,96.4493,10,93.5863,9,27.0213,5
"2024","Arizona St.",70.5509,63,69.1207,83,97.504,315,104.016,218,104.597,172,100.063,63,3.95301,127
"2024","Arkansas",72.2026,26,70.7635,36,105.897,164,109.817,105,109.076,272,104.236,137,5.58128,109
"2024","Arkansas Pine Bluff",73.0347,15,71.8109,18,103.856,213,102.19,252,114.427,352,118.939,360,-16.7486,333
"2024","Arkansas St.",70.1902,79,68.0833,140,112.515,40,113.568,58,109.868,293,110.626,262,2.94198,134
"2024","Army",63.18,357,63.0574,352,93.7353,349,90.8665,357,102.933,116,109.815,246,-18.9481,344
"2024","Auburn",70.895,55,69.8887,58,117.177,12,120.24,10,96.3047,9,92.4699,5,27.7696,4
"2024","Austin Peay",65.5753,325,64.6806,326,109.617,90,108.155,143,111.753,326,114.091,337,-5.93571,248
"2024","Ball St.",67.4976,241,66.8763,221,105.289,177,102.96,242,106.606,220,110.725,270,-7.76569,266
"2024","Baylor",66.746,273,65.6477,283,118.089,8,123.112,5,104.199,160,100.626,73,22.4857,14
"2024","Bellarmine",66.4824,281,64.8267,315,100.636,272,100.261,279,114.394,351,113.404,330,-13.1426,315
"2024","Belmont",71.9026,35,71.224,29,107.452,126,109.306,116,105.414,191,104.045,132,5.26175,113
"2024","Bethune Cookman",70.8346,56,69.7604,62,98.5352,304,97.874,314,102.78,113,108.909,236,-11.0349,303
"2024","Binghamton",68.0898,201,66.2629,255,101.542,258,102.495,246,107.362,244,111.445,288,-8.95068,284
"2024","Boise St.",66.3846,286,66.5786,242,110.354,71,113.473,64,100.804,68,97.2763,29,16.1968,42
"2024","Boston College",67.7969,220,66.9103,218,108.692,110,113.513,63,104.981,179,102.139,98,11.3742,72
"2024","Boston University",65.6953,320,65.7999,275,99.0878,293,98.2632,309,100.921,73,108.694,228,-10.4311,297
"2024","Bowling Green",68.5834,165,67.6767,161,104.158,206,102.386,248,103.486,136,107.88,209,-5.49429,239
"2024","Bradley",67.0006,265,66.3348,252,109.648,88,112.087,75,99.9642,45,99.8769,60,12.2103,64
"2024","Brown",67.6376,230,67.1808,196,102.79,233,104.368,215,105.751,199,106.596,180,-2.22819,187
"2024","Bryant",75.3787,2,74.1442,3,99.4465,291,101.107,268,98.7481,33,102.012,96,-0.904734,174
"2024","Bucknell",64.1487,351,64.8054,317,100.803,270,100.24,280,103.737,142,108.644,226,-8.40381,278
"2024","Buffalo",70.1324,84,69.1033,86,95.6487,333,95.4141,337,113.129,340,115.016,345,-19.6019,347
"2024","Butler",69.3125,125,68.4766,120,107.772,120,112.783,72,104.401,165,100.943,80,11.8402,67
"2024","BYU",69.9456,96,69.1179,84,116.413,16,119.779,13,100.111,49,99.6969,57,20.0821,17
"2024","Cal Baptist",65.2943,333,63.5551,346,102.026,247,103.062,237,102.2,101,105.739,165,-2.67706,194
"2024","Cal Poly",66.5123,279,65.8531,272,93.7635,348,94.6107,343,110.692,307,112.297,307,-17.6866,338
"2024","Cal St. Bakersfield",65.7488,317,64.7899,318,100.817,269,101.171,267,105.784,201,107.077,196,-5.90594,246
"2024","Cal St. Fullerton",67.2869,255,66.3931,248,98.5792,303,100.112,284,103.967,148,105.415,159,-5.30367,235
"2024","Cal St. Northridge",72.9858,16,72.5865,14,100.842,268,100.131,283,101.742,89,105.42,160,-5.28935,234
"2024","California",69.768,100,68.4848,117,104.024,210,109.061,125,107.792,252,104.375,139,4.68636,120
"2024","Campbell",66.5348,277,66.5702,243,101.984,248,100.66,275,109.499,286,112.972,320,-12.3122,311
"2024","Canisius",68.0699,203,66.8566,223,100.689,271,100.148,282,105.443,193,108.514,221,-8.36615,276
