crossword_id,date,completed,solved,minutes,seconds
1,11/4/24,1,1,9,2
2,11/5/24,1,1,30,14
3,11/6/24,1,1,50,52
4,11/7/24,1,0,78,21
5,11/8/24,1,0,44,26
6,11/9/24,1,0,89,55
7,11/10/24,1,0,95,24
8,11/11/24,1,1,6,50
9,11/12/24,1,1,8,51
10,11/13/24,1,0,35,36
11,11/14/24,1,1,50,33
12,11/15/24,1,0,39,12
13,11/16/24,1,0,41,53
14,11/17/24,1,0,143,26
15,11/18/24,1,1,11,48
16,11/19/24,1,1,15,47
17,11/20/24,1,1,48,23
18,11/21/24,1,0,58,36
19,11/22/24,1,1,52,0
20,11/23/24,1,0,39,13
21,11/24/24,1,0,98,46
22,11/25/24,1,1,8,25
23,11/26/24,1,1,15,42
24,11/27/24,1,0,45,7
25,11/28/24,0,0,,
26,11/29/24,1,0,63,15
27,11/30/24,1,0,66,47
28,12/1/24,1,0,76,33
29,12/2/24,1,1,7,36
30,12/3/24,1,1,14,1
31,12/4/24,1,0,27,46
32,12/5/24,1,0,32,44
33,12/6/24,1,1,38,8
34,12/7/24,1,0,70,32
35,12/8/24,1,0,123,50
36,12/9/24,1,1,10,33
37,12/10/24,1,1,33,24
38,12/11/24,1,1,11,56
39,12/12/24,1,1,29,11
40,12/13/24,1,0,77,3
41,12/14/24,1,0,70,20
42,12/15/24,1,0,104,20
43,12/16/24,1,1,11,1
44,12/17/24,1,1,19,47
45,12/18/24,1,1,38,23
46,12/19/24,1,0,30,5
47,12/20/24,1,0,64,36
48,12/21/24,1,0,112,21
49,12/22/24,1,0,88,44
50,12/23/24,1,0,10,58
51,12/24/24,1,1,11,28
52,12/25/24,1,0,49,23
53,12/26/24,1,0,37,0
54,12/27/24,1,0,122,1
55,12/28/24,1,0,54,36
56,12/29/24,1,0,178,35
57,12/30/24,1,1,9,25
58,12/31/24,1,1,15,59
59,1/1/25,1,1,52,26
60,1/2/25,1,0,61,6
61,1/3/25,1,1,42,6
62,1/4/25,1,0,54,51
63,1/5/25,1,0,64,35
64,1/6/25,1,1,14,27
65,1/7/25,1,1,24,11
66,1/8/25,1,0,41,46
67,1/9/25,1,0,53,36
68,1/10/25,1,1,55,7
69,1/11/25,1,0,49,43
70,1/12/25,1,1,77,33
71,1/13/25,1,1,9,22
72,1/14/25,1,1,13,10
73,1/15/25,1,1,28,17
74,1/16/25,1,0,59,42
75,1/17/25,1,1,96,58
76,1/18/25,1,0,64,8
77,1/19/25,1,0,110,57
78,1/20/25,1,1,13,12
79,1/21/25,1,1,17,5
80,1/22/25,1,0,24,27
81,1/23/25,1,0,57,17
82,1/24/25,1,0,48,3
83,1/25/25,1,0,140,39
84,1/26/25,1,1,178,37
85,1/27/25,1,1,9,37
86,1/28/25,1,0,29,14
87,1/29/25,1,1,41,2
88,1/30/25,1,1,48,5
89,1/31/25,1,1,46,33
90,2/1/25,1,0,74,31
91,2/2/25,1,0,208,16
92,2/3/25,1,1,23,26
93,2/4/25,1,1,41,46
94,2/5/25,1,1,67,9
95,2/6/25,1,0,102,27
96,2/7/25,1,0,60,48
97,2/8/25,1,1,37,21
98,2/9/25,1,1,51,49
99,2/10/25,1,1,7,6
100,2/11/25,1,1,12,49
101,2/12/25,1,1,39,55
102,2/13/25,1,1,45,22
103,2/14/25,1,1,51,6
104,2/15/25,1,0,158,17
105,2/16/25,1,0,99,56
106,2/17/25,1,1,7,25
107,2/18/25,1,1,13,5
108,2/19/25,1,1,20,29
109,2/20/25,1,0,46,29
110,2/21/25,1,0,54,42
111,2/22/25,1,0,42,44
112,2/23/25,1,0,83,1
113,2/24/25,1,1,9,54
114,2/25/25,1,1,17,26
115,2/26/25,1,1,16,53
116,2/27/25,1,1,43,20
117,2/28/25,1,1,52,49
118,3/1/25,1,0,81,37
119,3/2/25,1,0,106,36
120,3/3/25,1,1,8,47
121,3/4/25,1,1,10,19
122,3/5/25,1,0,33,25
123,3/6/25,1,0,57,13
124,3/7/25,1,1,36,8
125,3/8/25,1,0,47,23
126,3/9/25,1,0,122,1
