id,player_game_id,bird_name,habitat
1,1,Eastern Screech Owl,Forest
2,1,Carolina Chickadee,Forest
3,1,Rose-Breasted Grosbeak,Forest
4,1,California Condor,Grasslands
5,1,Ash-Throated Flycatcher,Grasslands
6,1,Ring-Billed Gull,Wetlands
7,1,Common Merganser,Wetlands
8,1,Wood Stork,Wetlands
9,1,King Rail,Wetlands
10,2,Northern Cardinal,Forest
11,2,Black-Chinned Hummingbird,Forest
12,2,Peregrine Falcon,Grasslands
13,2,White-Throated Swift,Grasslands
14,2,Golden Eagle,Wetlands
15,2,Great Egret,Wetlands
16,3,Red-Shouldered Hawk,Forest
17,3,Red-Breasted Nuthatch,Forest
18,3,Yellow-Billed Cuckoo,Forest
19,3,Pine Siskin,Forest
20,3,Acorn Woodpecker,Forest
21,3,Anna's Hummingbird,Grasslands
22,3,Song Sparrow,Grasslands
23,3,Scaled Quail,Grasslands
24,3,Trumpeter Swan,Wetlands
25,3,Black Tern,Wetlands
26,4,Swainson's Hawk,Grasslands
27,4,Franklin's Gull,Grasslands
28,4,Ruby-Throated Hummingbird,Grasslands
29,4,Mourning Dove,Grasslands
30,4,Purple Martin,Grasslands
31,4,Yellow-Headed Blackbird,Wetlands
32,4,American Coot,Wetlands
33,4,Black-Crowned Night-Heron,Wetlands
34,5,Northern Cardinal,Forest
35,5,Anna's Hummingbird,Forest
36,5,American Kestrel,Grasslands
37,5,Black-Billed Magpie,Grasslands
38,5,Tree Swallow,Wetlands
39,5,Whooping Crane,Wetlands
40,5,Atlantic Puffin,Wetlands
41,6,Black Vulture,Forest
42,6,Spotted Owl,Forest
43,6,Baltimore Oriole,Forest
44,6,Western Tanager,Forest
45,6,Mourning Dove,Grasslands
46,6,Ash-Throated Flycatcher,Grasslands
47,6,Baird's Sparrow,Grasslands
48,6,Black-Bellied Whistling-Duck,Wetlands
49,6,Barrow's Goldeneye,Wetlands
50,6,Red-Headed Woodpecker,Wetlands
51,7,Red Crossbill,Forest
52,7,Red-Bellied Woodpecker,Forest
53,7,Scissor-Tailed Flycatcher,Grasslands
54,7,Ferruginous Hawk,Grasslands
55,7,Mississippi Kite,Grasslands
56,7,Northern Shoveler,Wetlands
57,7,Snowy Egret,Wetlands
58,7,Canvasback,Wetlands
59,8,Steller's Jay,Forest
60,8,Barred Owl,Forest
61,8,Pine Siskin,Forest
62,8,California Quail,Forest
63,8,Red-Cockaded Woodpecker,Forest
64,8,Red-Winged Blackbird,Grasslands
65,8,Killdeer,Grasslands
66,8,Fish Crow,Grasslands
67,8,Indigo Bunting,Grasslands
68,8,Lazuli Bunting,Grasslands
69,9,Carolina Chickadee,Forest
70,9,White-Breasted Nuthatch,Forest
71,9,Dark-Eyed Junco,Grasslands
72,9,Scissor-Tailed Flycatcher,Grasslands
73,9,Golden Eagle,Grasslands
74,9,Sprague's Pipit,Grasslands
75,10,Red-Breasted Nuthatch,Forest
76,10,Eastern Screech Owl,Forest
77,10,Fish Crow,Grasslands
78,10,Common Raven,Grasslands
79,10,Wild Turkey,Grasslands
80,10,Chimney Swift,Grasslands
81,10,Belted Kingfisher,Wetlands
82,10,Red-Winged Blackbird,Wetlands
83,11,American Redstart,Forest
84,11,Blue Jay,Forest
85,11,Mountain Chickadee,Forest
86,11,Baird's Sparrow,Grasslands
87,11,Lazuli Bunting,Grasslands
88,11,Chipping Sparrow,Grasslands
89,11,Bewick's Wren,Grasslands
90,11,Brant,Wetlands
91,11,Great Egret,Wetlands
92,12,White-Breasted Nuthatch,Forest
93,12,Downy Woodpecker,Forest
94,12,Sprague's Pipit,Grasslands
95,12,Burrowing Owl,Grasslands
96,12,Eastern Phoebe,Wetlands
97,12,Common Merganser,Wetlands
98,12,Wood Stork,Wetlands
99,13,Indigo Bunting,Forest
100,13,Carolina Wren,Forest
101,13,Cooper's Hawk,Forest
102,13,Grasshopper Sparrow,Grasslands
103,13,Northern Bobwhite,Grasslands
104,13,Brewer's Blackbird,Grasslands
105,13,California Quail,Grasslands
106,13,Brant,Wetlands
107,14,Steller's Jay,Forest
108,14,Killdeer,Grasslands
109,14,Bushtit,Grasslands
110,14,Scaled Quail,Grasslands
111,14,Mallard,Wetlands
112,14,Barn Owl,Wetlands
113,14,American Coot,Wetlands
114,14,Black-Crowned Night-Heron,Wetlands
115,15,Turkey Vulture,Forest
116,15,Eastern Kingbird,Forest
117,15,Ruby-Crowned Kinglet,Forest
118,15,Blue Jay,Forest
119,15,Bronzed Cowbird,Grasslands
120,15,Brown-Headed Cowbird,Grasslands
121,15,Yellow-Headed Blackbird,Wetlands
122,15,Red-Winged Blackbird,Wetlands
123,15,Eastern Phoebe,Wetlands
124,15,Black-Crowned Night-Heron,Wetlands
125,15,Atlantic Puffin,Wetlands
126,16,Red-Shouldered Hawk,Forest
127,16,Eastern Screech Owl,Forest
128,16,Hermit Thrush,Forest
129,16,Northern Harrier,Grasslands
130,16,Northern Bobwhite,Grasslands
131,16,Ring-Billed Gull,Wetlands
132,16,Wood Stork,Wetlands
133,17,Red-Bellied Woodpecker,Forest
134,17,Blue-Winged Warbler,Forest
135,17,Grasshopper Sparrow,Grasslands
136,17,Black-Billed Magpie,Grasslands
137,17,Greater Prairie-Chicken,Grasslands
138,17,Barn Swallow,Wetlands
139,17,Bushtit,Wetlands
140,17,Bald Eagle,Wetlands
141,17,Common Merganser,Wetlands
142,17,Double-Crested Cormorant,Wetlands
143,18,Prothonotary Warbler,Forest
144,18,Red Crossbill,Forest
145,18,Western Tanager,Forest
146,18,Fish Crow,Grasslands
147,18,Common Raven,Grasslands
148,18,Black Tern,Wetlands
149,18,Black-Crowned Night-Heron,Wetlands
150,18,Double-Crested Cormorant,Wetlands
151,19,Blue Jay,Forest
152,19,White-Breasted Nuthatch,Forest
153,19,California Quail,Grasslands
154,19,Bronzed Cowbird,Grasslands
155,19,Greater Prairie-Chicken,Grasslands
156,19,Northern Harrier,Wetlands
157,19,Song Sparrow,Wetlands
158,19,Wilson's Snipe,Wetlands
159,19,Osprey,Wetlands
160,20,Carolina Chickadee,Forest
161,20,Hermit Thrush,Forest
162,20,Song Sparrow,Forest
163,20,Scissor-Tailed Flycatcher,Grasslands
164,20,American Coot,Wetlands
165,20,Pied-Billed Grebe,Wetlands
166,20,Belted Kingfisher,Wetlands
167,20,Atlantic Puffin,Wetlands
168,20,Clark's Grebe,Wetlands
169,21,Blue Jay,Forest
170,21,Prothonotary Warbler,Forest
171,21,Cassin's Finch,Forest
172,21,Grasshopper Sparrow,Grasslands
173,21,Mountain Bluebird,Grasslands
174,21,American Kestrel,Grasslands
175,21,Brewer's Blackbird,Grasslands
176,21,Eastern Kingbird,Wetlands
177,21,Sandhill Crane,Wetlands
178,22,Indigo Bunting,Forest
179,22,Yellow-Rumped Warbler,Forest
180,22,Northern Goshawk,Forest
181,22,Painted Bunting,Grasslands
182,22,Red-Legged Partridge,Grasslands
183,22,Northern Gannet,Wetlands
184,22,American Oystercatcher,Wetlands
185,22,Black Skimmer,Wetlands
186,22,Wood Stork,Wetlands
187,23,Mourning Dove,Forest
188,23,House Finch,Forest
189,23,Snow Bunting,Grasslands
190,23,Killdeer,Grasslands
191,23,Hooded Crow,Grasslands
192,23,Greater Roadrunner,Grasslands
193,23,Common Little Bittern,Wetlands
194,23,Ring-Billed Gull,Wetlands
195,23,Whooping Crane,Wetlands
196,23,Bald Eagle,Wetlands
197,24,California Condor,Forest
198,24,House Sparrow,Grasslands
199,24,White-Crowned Sparrow,Grasslands
200,24,Chestnut-Collared Longspur,Grasslands
201,24,Black-Headed Gull,Wetlands
202,24,Bushtit,Wetlands
203,24,Gray Catbird,Wetlands
204,24,Golden Eagle,Wetlands
205,24,Northern Shoveler,Wetlands
206,25,Blue-Gray Gnatcatcher,Forest
207,25,White-Breasted Nuthatch,Forest
208,25,Ruby-Throated Hummingbird,Forest
209,25,Common Nighthawk,Forest
210,25,Greater Roadrunner,Grasslands
211,25,Bronzed Cowbird,Grasslands
212,25,Sandhill Crane,Grasslands
213,25,Common Merganser,Wetlands
214,25,American Bittern,Wetlands
215,25,Common Loon,Wetlands
216,26,Mountain Chickadee,Forest
217,26,Yellow-Billed Cuckoo,Forest
218,26,Red-Bellied Woodpecker,Forest
219,26,Baird's Sparrow,Grasslands
220,26,Swainson's Hawk,Grasslands
221,26,Burrowing Owl,Grasslands
222,26,Eastern Kingbird,Wetlands
223,26,Barrow's Goldeneye,Wetlands
224,26,Forster's Tern,Wetlands
225,26,Spotted Sandpiper,Wetlands
226,27,Blue Jay,Forest
227,27,Spotted Towhee,Forest
228,27,Indigo Bunting,Forest
229,27,Prothonotary Warbler,Forest
230,27,Brown-Headed Cowbird,Grasslands
231,27,American Woodcock,Grasslands
232,27,American Kestrel,Grasslands
233,27,Common Grackle,Wetlands
234,27,King Rail,Wetlands
235,27,Barn Swallow,Wetlands
236,28,Ruby-Throated Hummingbird,Forest
237,28,Prothonotary Warbler,Forest
238,28,Great Horned Owl,Forest
239,28,Cerulean Warbler,Forest
240,28,Great Crested Flycatcher,Forest
241,28,Red-Winged Blackbird,Grasslands
242,28,Brown-Headed Cowbird,Grasslands
243,28,Bronzed Cowbird,Grasslands
244,28,Common Grackle,Grasslands
245,29,Red-Cockaded Woodpecker,Forest
246,29,Pygmy Nuthatch,Forest
247,29,Steller's Jay,Forest
248,29,Rose-Breasted Grosbeak,Forest
249,29,Northern Mockingbird,Grasslands
250,29,Cassin's Sparrow,Grasslands
251,29,California Condor,Grasslands
252,29,Pied-Billed Grebe,Wetlands
253,29,Trumpeter Swan,Wetlands
254,30,Red-Bellied Woodpecker,Forest
255,30,Spotted Owl,Forest
256,30,Downy Woodpecker,Forest
257,30,Juniper Titmouse,Forest
258,30,Chihuahuan Raven,Grasslands
259,30,Peregrine Falcon,Grasslands
260,30,Red-Tailed Hawk,Grasslands
261,30,Canada Goose,Grasslands
262,30,Mourning Dove,Grasslands
263,30,Black Tern,Wetlands
264,30,Willet,Wetlands
265,31,Turkey Vulture,Forest
266,31,Red-Headed Woodpecker,Forest
267,31,Eastern Screech Owl,Forest
268,31,Bushtit,Grasslands
269,31,Killdeer,Grasslands
270,31,Barn Owl,Grasslands
271,31,Purple Gallinule,Wetlands
272,31,Black Skimmer,Wetlands
273,31,Brown Pelican,Wetlands
274,32,Cooper's Hawk,Forest
275,32,American Redstart,Forest
276,32,Red-Shouldered Hawk,Forest
277,32,House Finch,Grasslands
278,32,Blue-Winged Warbler,Grasslands
279,32,Scissor-Tailed Flycatcher,Grasslands
280,32,Common Raven,Wetlands
281,32,American Bittern,Wetlands
282,32,Double-Crested Cormorant,Wetlands
283,33,Ruby-Crowned Kinglet,Forest
284,33,Bell's Vireo,Forest
285,33,Fish Crow,Grasslands
286,33,Gray Catbird,Grasslands
287,33,Painted Bunting,Grasslands
288,33,Song Sparrow,Grasslands
289,33,Forster's Tern,Wetlands
290,33,Black Tern,Wetlands
