game_id,players,date,time,deck
1,4,2/3/23,11:52:00 PM,Base Game
2,4,2/4/23,1:33:00 AM,Base Game
3,3,2/4/23,8:08:00 PM,Base Game
4,3,2/4/23,9:29:00 PM,Base Game
5,3,2/4/23,11:22:00 PM,Base Game
6,2,2/5/23,3:04:00 PM,Base Game
7,2,2/5/23,5:11:00 PM,Base Game
8,3,2/5/23,11:32:00 PM,European Expansion
9,3,2/6/23,8:24:00 PM,Base Game
10,3,2/6/23,10:13:00 PM,Base Game
11,3,2/6/23,11:53:00 PM,Base Game
12,3,2/7/23,11:27:00 PM,Base Game
13,3,2/8/23,10:52:00 PM,Base Game
14,2,2/8/23,11:47:00 PM,Base Game
15,4,2/9/23,9:23:00 PM,Base Game
16,4,2/9/23,11:46:00 PM,Base Game
17,3,4/1/23,12:23:00 AM,European Expansion
18,4,4/2/23,8:00:00 PM,European Expansion
19,2,6/26/25,1:27:00 PM,Base Game
20,2,6/29/25,7:24:00 PM,Base Game
21,2,6/30/25,3:00:00 PM,European Expansion
22,2,6/30/25,5:39:00 PM,European Expansion
23,2,6/30/25,10:21:00 PM,European Expansion
24,2,6/30/25,11:22:00 PM,European Expansion
25,3,7/2/25,3:39:00 PM,Base Game
26,2,7/5/25,3:14:00 PM,Base Game
27,2,7/3/25,5:30:00 PM,Oceania Expansion
28,4,7/3/25,9:32:00 PM,Asia Expansion
29,4,7/3/25,11:15:00 PM,Asia Expansion
