"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Abilene Christian",68.934,152,67.8659,151,98.2806,341,101.169,312,106.582,123,107.785,140,-6.61598,245
"2026","Air Force",67.3965,227,66.3368,242,91.3003,363,95.9257,352,118.661,352,115.591,301,-19.6658,345
"2026","Akron",71.0424,52,70.2177,38,121.522,7,118.891,53,105.618,99,106.93,123,11.9606,71
"2026","Alabama",74.2206,5,72.8946,4,122.021,6,129.62,3,110.686,232,102.425,61,27.1958,13
"2026","Alabama A&M",67.2989,231,65.3851,288,105.677,237,104.133,271,109.368,204,116.737,314,-12.6038,304
"2026","Alabama St.",71.2573,41,69.5539,70,100.207,323,99.3766,336,109.075,196,113.669,267,-14.2925,318
"2026","Albany",65.6388,312,65.2634,296,105.064,250,103.338,283,113.107,294,118.272,332,-14.9335,323
"2026","Alcorn St.",69.424,119,67.3151,184,96.1864,354,96.5311,349,114.543,319,116.543,312,-20.0116,346
"2026","American",66.6771,258,66.7392,219,108.209,178,105.615,242,108.732,186,112.089,235,-6.47341,240
"2026","Appalachian St.",64.0742,354,63.0451,358,107.633,192,105.971,232,104.81,83,108.278,146,-2.30746,195
"2026","Arizona",71.2449,42,69.8185,56,120.844,11,128.562,4,96.3286,6,89.8051,1,38.7573,1
"2026","Arizona St.",70.6155,72,69.2734,79,108.14,179,115.812,77,110.793,237,103.526,70,12.2862,66
"2026","Arkansas",72.8681,13,71.5437,17,122.308,3,127.874,7,109.764,210,102.387,59,25.4877,18
"2026","Arkansas Pine Bluff",71.2183,43,68.9811,92,104.075,269,104.156,269,114.367,315,117.363,321,-13.2068,313
"2026","Arkansas St.",72.559,15,72.0264,10,111.347,113,110.682,146,106.411,117,109.398,178,1.28344,147
"2026","Army",67.2649,232,67.1488,194,103.083,286,100.123,324,115.171,327,118.706,335,-18.5829,339
"2026","Auburn",69.027,148,67.375,181,118.684,28,124.988,12,113.585,304,106.501,116,18.4865,40
"2026","Austin Peay",70.1198,89,69.4223,74,113.065,86,108.138,186,106.149,107,108.449,148,-0.311536,172
"2026","Ball St.",65.3444,321,63.7519,343,100.083,327,98.5663,339,108.313,174,110.057,192,-11.4909,295
"2026","Baylor",69.6262,110,67.8449,155,116.367,45,123.042,25,111.773,265,107.222,131,15.8198,51
"2026","Bellarmine",66.14,287,64.6877,319,118.459,29,116.538,72,124.752,365,126.272,365,-9.73414,278
"2026","Belmont",69.969,96,68.9612,94,118.78,26,120.683,38,105.399,95,108.562,155,12.1214,68
"2026","Bethune Cookman",70.9259,57,69.1139,86,103.937,273,103.706,276,107.645,148,110.184,196,-6.47813,241
"2026","Binghamton",65.1072,331,65.345,294,100.464,322,97.6865,343,115.158,326,123.203,361,-25.517,359
"2026","Boise St.",66.5612,264,65.7484,273,113.481,80,117.441,64,107.186,134,103.876,75,13.5646,57
"2026","Boston College",66.331,283,66.0105,259,99.9754,328,103.688,277,104.96,86,102.879,65,0.808975,158
"2026","Boston University",63.4459,361,63.1742,355,114.476,68,111.788,124,114.155,311,119.967,348,-8.17982,262
"2026","Bowling Green",70.1667,88,68.4038,124,109.23,151,107.285,210,102.681,53,105.906,104,1.37907,144
"2026","Bradley",67.5615,221,67.0888,197,110.022,134,112.023,120,106.49,119,108.875,162,3.14776,130
"2026","Brown",66.6899,257,66.562,230,98.7539,338,98.0012,342,106.294,113,108.943,164,-10.9416,289
"2026","Bryant",64.4513,343,64.2469,335,96.4977,349,96.7002,347,112.613,282,119.677,345,-22.9769,355
"2026","Bucknell",66.9718,245,66.9573,205,99.4931,333,98.1691,340,112.509,277,114.95,291,-16.7805,331
"2026","Buffalo",67.5635,220,66.5485,232,113.805,75,112.472,116,112.71,286,115.383,298,-2.91065,203
"2026","Butler",70.0351,92,68.7355,105,111.297,115,116.222,74,109.414,207,106.561,117,9.6604,84
"2026","BYU",70.3437,79,69.9304,49,118.263,33,124.991,11,107.012,129,102.412,60,22.5782,24
"2026","Cal Baptist",67.4984,224,65.9976,263,106.384,220,107.742,199,99.0779,19,101.673,50,6.06872,105
"2026","Cal Poly",76.0992,1,74.0207,1,106.412,219,109.436,165,111.955,271,113.306,258,-3.87013,214
"2026","Cal St. Bakersfield",72.6288,14,70.1069,43,99.2966,336,101.879,305,114.658,320,117.397,322,-15.5181,327
"2026","Cal St. Fullerton",75.4547,2,72.8661,5,106.608,215,109.316,166,108.987,194,109.278,176,0.0385593,170
"2026","California",69.2895,127,68.1685,136,111.145,118,114.587,88,105.105,91,103.491,68,11.0966,76
"2026","Campbell",70.0184,94,69.7938,59,108.471,175,111.186,134,112.57,280,112.892,251,-1.70608,185
"2026","Canisius",64.3232,349,64.2588,333,96.2957,352,95.4921,355,110.308,229,114.443,281,-18.9509,342
"2026","Central Arkansas",68.9259,155,68.0154,143,113.381,81,110.2,151,108.054,165,109.048,166,1.1522,151
"2026","Central Connecticut",65.189,327,65.1047,305,107.725,188,104.785,261,109.839,213,117.455,326,-12.67,307
"2026","Central Michigan",68.3224,185,67.1898,192,104.938,251,105.957,234,113.889,308,115.137,294,-9.18076,271
"2026","Charleston",68.2796,189,67.6814,167,109.235,150,108.089,188,107.373,138,108.413,147,-0.324,173
"2026","Charleston Southern",73.3305,10,71.5981,15,107.64,191,105.959,233,107.459,140,112.218,239,-6.2594,236
"2026","Charlotte",64.3769,348,63.4467,349,111.568,108,113.33,103,113.348,298,114.493,285,-1.16309,182
"2026","Chattanooga",67.5828,217,67.2543,189,109.832,138,105.534,245,115.673,332,117.686,328,-12.1518,301
"2026","Chicago St.",65.7649,305,65.3777,290,98.9773,337,99.5237,333,115.514,330,119.005,340,-19.4813,344
"2026","Cincinnati",69.158,137,67.5381,176,105.18,247,111.256,133,98.0606,12,94.0422,11,17.2143,45
"2026","Clemson",65.1217,330,64.087,339,112.325,98,116.666,71,101.781,42,98.0873,24,18.5785,39
"2026","Cleveland St.",71.3754,37,69.7985,57,110.078,133,109.511,163,124.406,364,124.078,362,-14.5667,319
"2026","Coastal Carolina",68.3414,181,66.8777,210,102.729,295,101.934,302,105.255,92,108.697,158,-6.76331,247
"2026","Colgate",66.8786,249,66.9347,206,110.235,129,107.798,197,111.465,257,114.94,289,-7.1423,249
"2026","Colorado",70.0905,90,68.7275,106,113.132,85,118.889,54,112.691,285,107.116,126,11.773,72
"2026","Colorado St.",64.4413,346,63.1378,357,116.088,49,118.563,55,111.328,253,109.264,175,9.29885,88
"2026","Columbia",67.129,237,66.7648,218,110.196,131,108.554,182,108.621,181,110.663,206,-2.109,193
"2026","Connecticut",65.8899,299,64.6807,320,116.283,46,122.323,30,97.8182,10,93.6315,9,28.6918,10
"2026","Coppin St.",69.0598,144,68.0687,139,92.8163,362,92.2244,360,116.489,340,119.616,344,-27.392,363
"2026","Cornell",71.2681,40,71.2744,19,119.521,18,119.92,45,117.622,344,119.574,343,0.345877,166
"2026","Creighton",68.5602,170,67.5927,171,109.152,156,116.404,73,109.303,203,105.217,96,11.1868,74
"2026","CSUN",75.3302,3,73.6042,2,106.739,213,108.918,177,107.491,141,109.564,182,-0.646487,177
"2026","Dartmouth",69.1586,136,69.5766,68,105.227,244,104.812,260,112.623,283,114.286,277,-9.47482,276
"2026","Davidson",64.2368,351,63.854,341,107.584,193,109.988,155,105.044,89,104.531,85,5.45722,110
"2026","Dayton",67.6058,215,66.5881,227,109.002,161,111.744,126,101.358,39,99.6154,30,12.1287,67
"2026","Delaware",63.9676,355,63.2094,354,103.887,274,104.644,262,113.579,303,115.736,302,-11.0928,291
"2026","Delaware St.",66.0404,294,65.3695,293,89.7609,365,87.2065,365,107.211,135,114.306,278,-27.0995,362
"2026","Denver",69.403,122,67.9,146,116.112,48,116.041,76,120.99,360,122.281,359,-6.23943,235
"2026","DePaul",67.7309,213,66.255,247,103.659,278,107.383,208,102.846,58,100.31,33,7.07314,101
"2026","Detroit Mercy",69.7525,102,68.8214,101,109.439,148,108.055,189,112.596,281,112.145,238,-4.08918,217
"2026","Drake",67.849,211,67.2706,186,108.008,183,109.93,157,111.656,263,112.753,250,-2.82307,199
"2026","Drexel",65.207,326,64.2576,334,103.191,282,102.367,296,103.331,64,107.192,129,-4.82473,223
"2026","Duke",66.9365,246,65.4349,286,122.17,5,127.884,5,94.8711,2,90.2031,3,37.6813,3
"2026","Duquesne",69.3469,126,68.6458,112,109.105,159,111.002,138,107.797,158,107.226,132,3.77644,124
"2026","East Carolina",69.151,138,68.6461,111,102.253,302,103.914,274,110.944,241,111.069,212,-7.15458,250
