bracket_id,season,s_curve,seed,team,region
1,2024,1,1,Connecticut,East
2,2024,2,1,Houston,South
3,2024,3,1,Purdue,Midwest
4,2024,4,1,North Carolina,West
5,2024,5,2,Arizona,West
6,2024,6,2,Tennessee,Midwest
7,2024,7,2,Marquette,South
8,2024,8,2,Iowa St.,East
9,2024,9,3,Illinois,East
10,2024,10,3,Kentucky,South
11,2024,11,3,Creighton,Midwest
12,2024,12,3,Baylor,West
13,2024,13,4,Alabama,West
14,2024,14,4,Kansas,Midwest
15,2024,15,4,Duke,South
16,2024,16,4,Auburn,East
17,2024,17,5,San Diego St.,East
18,2024,18,5,Wisconsin,South
19,2024,19,5,Gonzaga,Midwest
20,2024,20,5,Saint Mary's,West
21,2024,21,6,Clemson,West
22,2024,22,6,South Carolina,Midwest
23,2024,23,6,Texas Tech,South
24,2024,24,6,BYU,East
25,2024,25,7,Washington St.,East
26,2024,26,7,Florida,South
27,2024,27,7,Texas,Midwest
28,2024,28,7,Dayton,West
29,2024,29,8,Mississippi St.,West
30,2024,30,8,Utah St.,Midwest
31,2024,31,8,Nebraska,South
32,2024,32,8,Florida Atlantic,East
33,2024,33,9,Northwestern,East
34,2024,34,9,Texas A&M,South
35,2024,35,9,TCU,Midwest
36,2024,36,9,Michigan St.,West
37,2024,37,10,Nevada,West
38,2024,38,10,Colorado St.,Midwest
39,2024,39,10,Colorado,South
40,2024,40,10,Drake,East
41,2024,41,11,Duquesne,East
42,2024,42,11,N.C. State,South
43,2024,43,11,Oregon,Midwest
44,2024,44,11,New Mexico,West
45,2024,45,12,Grand Canyon,West
46,2024,46,12,McNeese St.,Midwest
47,2024,47,12,James Madison,South
48,2024,48,12,UAB,East
49,2024,49,13,Yale,East
50,2024,50,13,Vermont,South
51,2024,51,13,Samford,Midwest
52,2024,52,13,Charleston,West
53,2024,53,14,Colgate,West
54,2024,54,14,Akron,Midwest
55,2024,55,14,Oakland,South
56,2024,56,14,Morehead St.,East
