id,team,conference,division
1,Arizona Cardinals,NFC,West
2,Atlanta Falcons,NFC,South
3,Baltimore Ravens,AFC,North
4,Buffalo Bills,AFC,East
5,Carolina Panthers,NFC,South
6,Chicago Bears,NFC,North
7,Cincinnati Bengals,AFC,North
8,Cleveland Browns,AFC,North
9,Dallas Cowboys,NFC,East
10,Denver Broncos,AFC,West
11,Detroit Lions,NFC,North
12,Green Bay Packers,NFC,North
13,Houston Texans,AFC,South
14,Indianapolis Colts,AFC,South
15,Jacksonville Jaguars,AFC,South
16,Kansas City Chiefs,AFC,West
17,Las Vegas Raiders,AFC,West
18,Los Angeles Chargers,AFC,West
19,Los Angeles Rams,NFC,West
20,Miami Dolphins,AFC,East
21,Minnesota Vikings,NFC,North
22,New England Patriots,AFC,East
23,New Orleans Saints,NFC,South
24,New York Giants,NFC,East
25,New York Jets,AFC,East
26,Philadelphia Eagles,NFC,East
27,Pittsburgh Steelers,AFC,North
28,San Francisco 49ers,NFC,West
29,Seattle Seahawks,NFC,West
30,Tampa Bay Buccaneers,NFC,South
31,Tennessee Titans,AFC,South
32,Washington Commanders,NFC,East
