team_game_id,game_id,game,team,toi,cf,ca,gf,ga,xgf,xga,is_home,season
1,1," 2022-10-07 - Sharks 1, Predators 4",Nashville Predators,60,69,57,4,1,4.53,2.92,1,2223
2,1," 2022-10-07 - Sharks 1, Predators 4",San Jose Sharks,60,57,69,1,4,2.92,4.53,0,2223
3,2," 2022-10-08 - Predators 3, Sharks 2",San Jose Sharks,60,67,49,2,3,3.45,1.57,1,2223
4,2," 2022-10-08 - Predators 3, Sharks 2",Nashville Predators,60,49,67,3,2,1.57,3.45,0,2223
5,3," 2022-10-11 - Lightning 1, Rangers 3",New York Rangers,60,71,46,3,1,5.82,2.66,1,2223
6,3," 2022-10-11 - Lightning 1, Rangers 3",Tampa Bay Lightning,60,46,71,1,3,2.66,5.82,0,2223
7,4," 2022-10-11 - Golden Knights 4, Kings 3",Los Angeles Kings,60,56,81,3,4,2.7,4.6,1,2223
8,4," 2022-10-11 - Golden Knights 4, Kings 3",Vegas Golden Knights,60,81,56,4,3,4.6,2.7,0,2223
9,5," 2022-10-12 - Bruins 5, Capitals 2",Washington Capitals,60,66,51,2,5,2.92,3.28,1,2223
10,5," 2022-10-12 - Bruins 5, Capitals 2",Boston Bruins,60,51,66,5,2,3.28,2.92,0,2223
11,6," 2022-10-12 - Blue Jackets 1, Hurricanes 4",Carolina Hurricanes,60,96,51,4,1,3.77,2.75,1,2223
12,6," 2022-10-12 - Blue Jackets 1, Hurricanes 4",Columbus Blue Jackets,60,51,96,1,4,2.75,3.77,0,2223
13,7," 2022-10-12 - Maple Leafs 3, Canadiens 4",Montreal Canadiens,60,50,63,4,3,2.47,2.96,1,2223
14,7," 2022-10-12 - Maple Leafs 3, Canadiens 4",Toronto Maple Leafs,60,63,50,3,4,2.96,2.47,0,2223
15,8," 2022-10-12 - Blackhawks 2, Avalanche 5",Colorado Avalanche,60,61,34,5,2,2.7,2.04,1,2223
16,8," 2022-10-12 - Blackhawks 2, Avalanche 5",Chicago Blackhawks,60,34,61,2,5,2.04,2.7,0,2223
17,9," 2022-10-12 - Kraken 4, Ducks 5",Anaheim Ducks,60.91666667,44,78,5,4,2.22,4.64,1,2223
18,9," 2022-10-12 - Kraken 4, Ducks 5",Seattle Kraken,60.91666667,78,44,4,5,4.64,2.22,0,2223
19,10," 2022-10-12 - Canucks 3, Oilers 5",Edmonton Oilers,60,49,63,5,3,3.25,3.26,1,2223
20,10," 2022-10-12 - Canucks 3, Oilers 5",Vancouver Canucks,60,63,49,3,5,3.26,3.25,0,2223
21,11," 2022-10-13 - Coyotes 2, Penguins 6",Pittsburgh Penguins,60,75,48,6,2,5.28,2.43,1,2223
22,11," 2022-10-13 - Coyotes 2, Penguins 6",Arizona Coyotes,60,48,75,2,6,2.43,5.28,0,2223
23,12," 2022-10-13 - Devils 2, Flyers 5",Philadelphia Flyers,60,44,83,5,2,3.32,3.69,1,2223
24,12," 2022-10-13 - Devils 2, Flyers 5",New Jersey Devils,60,83,44,2,5,3.69,3.32,0,2223
25,13," 2022-10-13 - Senators 1, Sabres 4",Buffalo Sabres,60,55,52,4,1,3.11,2.43,1,2223
26,13," 2022-10-13 - Senators 1, Sabres 4",Ottawa Senators,60,52,55,1,4,2.43,3.11,0,2223
27,14," 2022-10-13 - Panthers 3, Islanders 1",New York Islanders,60,62,68,1,3,3.94,4.36,1,2223
28,14," 2022-10-13 - Panthers 3, Islanders 1",Florida Panthers,60,68,62,3,1,4.36,3.94,0,2223
29,15," 2022-10-13 - Capitals 2, Maple Leafs 3",Toronto Maple Leafs,60,58,63,3,2,4.47,2.23,1,2223
30,15," 2022-10-13 - Capitals 2, Maple Leafs 3",Washington Capitals,60,63,58,2,3,2.23,4.47,0,2223
31,16," 2022-10-13 - Stars 4, Predators 1",Nashville Predators,60,58,47,1,4,2.05,3.44,1,2223
32,16," 2022-10-13 - Stars 4, Predators 1",Dallas Stars,60,47,58,4,1,3.44,2.05,0,2223
33,17," 2022-10-13 - Rangers 7, Wild 3",Minnesota Wild,60,62,54,3,7,3.95,3.11,1,2223
34,17," 2022-10-13 - Rangers 7, Wild 3",New York Rangers,60,54,62,7,3,3.11,3.95,0,2223
35,18," 2022-10-13 - Avalanche 3, Flames 5",Calgary Flames,60,52,49,5,3,2.95,2.35,1,2223
36,18," 2022-10-13 - Avalanche 3, Flames 5",Colorado Avalanche,60,49,52,3,5,2.35,2.95,0,2223
37,19," 2022-10-13 - Blackhawks 0, Golden Knights 1",Vegas Golden Knights,60,74,53,1,0,4.59,2.16,1,2223
38,19," 2022-10-13 - Blackhawks 0, Golden Knights 1",Chicago Blackhawks,60,53,74,0,1,2.16,4.59,0,2223
39,20," 2022-10-13 - Kraken 4, Kings 1",Los Angeles Kings,60,54,42,1,4,2.37,2.84,1,2223
40,20," 2022-10-13 - Kraken 4, Kings 1",Seattle Kraken,60,42,54,4,1,2.84,2.37,0,2223
41,21," 2022-10-14 - Lightning 5, Blue Jackets 2",Columbus Blue Jackets,60,44,66,2,5,2.44,3.06,1,2223
42,21," 2022-10-14 - Lightning 5, Blue Jackets 2",Tampa Bay Lightning,60,66,44,5,2,3.06,2.44,0,2223
43,22," 2022-10-14 - Canadiens 0, Red Wings 3",Detroit Red Wings,60,65,47,3,0,5.57,1.62,1,2223
44,22," 2022-10-14 - Canadiens 0, Red Wings 3",Montreal Canadiens,60,47,65,0,3,1.62,5.57,0,2223
45,23," 2022-10-14 - Rangers 1, Jets 4",Winnipeg Jets,60,65,70,4,1,4.07,4.47,1,2223
46,23," 2022-10-14 - Rangers 1, Jets 4",New York Rangers,60,70,65,1,4,4.47,4.07,0,2223
47,24," 2022-10-14 - Hurricanes 2, Sharks 1",San Jose Sharks,60,33,68,1,2,1.66,3.04,1,2223
48,24," 2022-10-14 - Hurricanes 2, Sharks 1",Carolina Hurricanes,60,68,33,2,1,3.04,1.66,0,2223
49,25," 2022-10-15 - Panthers 4, Sabres 3",Buffalo Sabres,60,43,67,3,4,2.3,4.19,1,2223
50,25," 2022-10-15 - Panthers 4, Sabres 3",Florida Panthers,60,67,43,4,3,4.19,2.3,0,2223
51,26," 2022-10-15 - Canucks 2, Flyers 3",Philadelphia Flyers,60,50,55,3,2,2.98,2.99,1,2223
52,26," 2022-10-15 - Canucks 2, Flyers 3",Vancouver Canucks,60,55,50,2,3,2.99,2.98,0,2223
53,27," 2022-10-15 - Coyotes 3, Bruins 6",Boston Bruins,60,72,46,6,3,5.04,2,1,2223
54,27," 2022-10-15 - Coyotes 3, Bruins 6",Arizona Coyotes,60,46,72,3,6,2,5.04,0,2223
55,28," 2022-10-15 - Red Wings 5, Devils 2",New Jersey Devils,60,71,43,2,5,4.33,2.03,1,2223
56,28," 2022-10-15 - Red Wings 5, Devils 2",Detroit Red Wings,60,43,71,5,2,2.03,4.33,0,2223
57,29," 2022-10-15 - Canadiens 1, Capitals 3",Washington Capitals,60,65,53,3,1,4.64,2.34,1,2223
58,29," 2022-10-15 - Canadiens 1, Capitals 3",Montreal Canadiens,60,53,65,1,3,2.34,4.64,0,2223
59,30," 2022-10-15 - Senators 2, Maple Leafs 3",Toronto Maple Leafs,60,67,52,3,2,3.38,2.75,1,2223
60,30," 2022-10-15 - Senators 2, Maple Leafs 3",Ottawa Senators,60,52,67,2,3,2.75,3.38,0,2223
61,31," 2022-10-15 - Lightning 2, Penguins 6",Pittsburgh Penguins,60,77,56,6,2,6,2.29,1,2223
62,31," 2022-10-15 - Lightning 2, Penguins 6",Tampa Bay Lightning,60,56,77,2,6,2.29,6,0,2223
63,32," 2022-10-15 - Ducks 1, Islanders 7",New York Islanders,60,68,57,7,1,3.62,3.12,1,2223
64,32," 2022-10-15 - Ducks 1, Islanders 7",Anaheim Ducks,60,57,68,1,7,3.12,3.62,0,2223
65,33," 2022-10-15 - Blue Jackets 2, Blues 5",St Louis Blues,60,52,45,5,2,2.99,1.9,1,2223
66,33," 2022-10-15 - Blue Jackets 2, Blues 5",Columbus Blue Jackets,60,45,52,2,5,1.9,2.99,0,2223
67,34," 2022-10-15 - Kings 7, Wild 6",Minnesota Wild,60,68,50,6,7,3.07,2.83,1,2223
68,34," 2022-10-15 - Kings 7, Wild 6",Los Angeles Kings,60,50,68,7,6,2.83,3.07,0,2223
69,35," 2022-10-15 - Predators 1, Stars 5",Dallas Stars,60,52,72,5,1,3.78,3.04,1,2223
70,35," 2022-10-15 - Predators 1, Stars 5",Nashville Predators,60,72,52,1,5,3.04,3.78,0,2223
71,36," 2022-10-15 - Flames 4, Oilers 3",Edmonton Oilers,60,49,73,3,4,2.89,4.74,1,2223
72,36," 2022-10-15 - Flames 4, Oilers 3",Calgary Flames,60,73,49,4,3,4.74,2.89,0,2223
73,37," 2022-10-15 - Golden Knights 5, Kraken 2",Seattle Kraken,60,63,50,2,5,2.37,2.78,1,2223
74,37," 2022-10-15 - Golden Knights 5, Kraken 2",Vegas Golden Knights,60,50,63,5,2,2.78,2.37,0,2223
75,38," 2022-10-15 - Blackhawks 5, Sharks 2",San Jose Sharks,60,55,36,2,5,2.3,1.89,1,2223
76,38," 2022-10-15 - Blackhawks 5, Sharks 2",Chicago Blackhawks,60,36,55,5,2,1.89,2.3,0,2223
77,39," 2022-10-17 - Ducks 4, Rangers 6",New York Rangers,60,70,38,6,4,4.01,2.05,1,2223
78,39," 2022-10-17 - Ducks 4, Rangers 6",Anaheim Ducks,60,38,70,4,6,2.05,4.01,0,2223
79,40," 2022-10-17 - Coyotes 4, Maple Leafs 2",Toronto Maple Leafs,60,61,29,2,4,3.23,2.3,1,2223
80,40," 2022-10-17 - Coyotes 4, Maple Leafs 2",Arizona Coyotes,60,29,61,4,2,2.3,3.23,0,2223
81,41," 2022-10-17 - Panthers 3, Bruins 5",Boston Bruins,60,66,78,5,3,3.88,3.67,1,2223
82,41," 2022-10-17 - Panthers 3, Bruins 5",Florida Panthers,60,78,66,3,5,3.67,3.88,0,2223
83,42," 2022-10-17 - Penguins 2, Canadiens 3",Montreal Canadiens,63.15,68,54,3,2,3.14,2.6,1,2223
84,42," 2022-10-17 - Penguins 2, Canadiens 3",Pittsburgh Penguins,63.15,54,68,2,3,2.6,3.14,0,2223
85,43," 2022-10-17 - Canucks 4, Capitals 6",Washington Capitals,60,53,58,6,4,2.87,2.23,1,2223
86,43," 2022-10-17 - Canucks 4, Capitals 6",Vancouver Canucks,60,58,53,4,6,2.23,2.87,0,2223
87,44," 2022-10-17 - Kings 5, Red Wings 4",Detroit Red Wings,61.2,55,63,4,5,2.91,3.62,1,2223
88,44," 2022-10-17 - Kings 5, Red Wings 4",Los Angeles Kings,61.2,63,55,5,4,3.62,2.91,0,2223
89,45," 2022-10-17 - Avalanche 6, Wild 3",Minnesota Wild,60,67,59,3,6,3.03,3.39,1,2223
90,45," 2022-10-17 - Avalanche 6, Wild 3",Colorado Avalanche,60,59,67,6,3,3.39,3.03,0,2223
91,46," 2022-10-17 - Jets 1, Stars 4",Dallas Stars,60,52,61,4,1,3.13,2.91,1,2223
92,46," 2022-10-17 - Jets 1, Stars 4",Winnipeg Jets,60,61,52,1,4,2.91,3.13,0,2223
93,47," 2022-10-17 - Hurricanes 5, Kraken 1",Seattle Kraken,60,39,66,1,5,2.1,3.36,1,2223
94,47," 2022-10-17 - Hurricanes 5, Kraken 1",Carolina Hurricanes,60,66,39,5,1,3.36,2.1,0,2223
95,48," 2022-10-18 - Ducks 2, Devils 4",New Jersey Devils,60,67,35,4,2,3.66,2.14,1,2223
96,48," 2022-10-18 - Ducks 2, Devils 4",Anaheim Ducks,60,35,67,2,4,2.14,3.66,0,2223
97,49," 2022-10-18 - Bruins 5, Senators 7",Ottawa Senators,60,60,61,7,5,3.32,4.04,1,2223
98,49," 2022-10-18 - Bruins 5, Senators 7",Boston Bruins,60,61,60,5,7,4.04,3.32,0,2223
99,50," 2022-10-18 - Canucks 3, Blue Jackets 4",Columbus Blue Jackets,63.35,58,55,4,3,3.09,1.93,1,2223
100,50," 2022-10-18 - Canucks 3, Blue Jackets 4",Vancouver Canucks,63.35,55,58,3,4,1.93,3.09,0,2223
101,51," 2022-10-18 - Sharks 2, Islanders 5",New York Islanders,60,80,51,5,2,4.5,2.96,1,2223
102,51," 2022-10-18 - Sharks 2, Islanders 5",San Jose Sharks,60,51,80,2,5,2.96,4.5,0,2223
103,52," 2022-10-18 - Kings 4, Predators 3",Nashville Predators,65,58,63,3,3,3.04,3.97,1,2223
104,52," 2022-10-18 - Kings 4, Predators 3",Los Angeles Kings,65,63,58,3,3,3.97,3.04,0,2223
105,53," 2022-10-18 - Flyers 3, Lightning 2",Tampa Bay Lightning,60,71,49,2,3,3.99,2.42,1,2223
106,53," 2022-10-18 - Flyers 3, Lightning 2",Philadelphia Flyers,60,49,71,3,2,2.42,3.99,0,2223
107,54," 2022-10-18 - Sabres 4, Oilers 2",Edmonton Oilers,60,79,45,2,4,5.02,3.35,1,2223
108,54," 2022-10-18 - Sabres 4, Oilers 2",Buffalo Sabres,60,45,79,4,2,3.35,5.02,0,2223
109,55," 2022-10-18 - Golden Knights 2, Flames 3",Calgary Flames,60,76,41,3,2,4.63,1.82,1,2223
110,55," 2022-10-18 - Golden Knights 2, Flames 3",Vegas Golden Knights,60,41,76,2,3,1.82,4.63,0,2223
111,56," 2022-10-19 - Flyers 3, Panthers 4",Florida Panthers,60,65,48,4,3,3.94,2.74,1,2223
112,56," 2022-10-19 - Flyers 3, Panthers 4",Philadelphia Flyers,60,48,65,3,4,2.74,3.94,0,2223
113,57," 2022-10-19 - Jets 4, Avalanche 3",Colorado Avalanche,60.51666667,66,53,3,4,2.78,2.27,1,2223
114,57," 2022-10-19 - Jets 4, Avalanche 3",Winnipeg Jets,60.51666667,53,66,4,3,2.27,2.78,0,2223
115,58," 2022-10-19 - Blues 4, Kraken 3",Seattle Kraken,62.16666667,68,41,3,4,3.48,2.69,1,2223
116,58," 2022-10-19 - Blues 4, Kraken 3",St Louis Blues,62.16666667,41,68,4,3,2.69,3.48,0,2223
117,59," 2022-10-20 - Ducks 1, Bruins 2",Boston Bruins,65,61,49,1,1,2.86,1.88,1,2223
118,59," 2022-10-20 - Ducks 1, Bruins 2",Anaheim Ducks,65,49,61,1,1,1.88,2.86,0,2223
119,60," 2022-10-20 - Coyotes 2, Canadiens 6",Montreal Canadiens,60,50,52,6,2,3.18,2.13,1,2223
120,60," 2022-10-20 - Coyotes 2, Canadiens 6",Arizona Coyotes,60,52,50,2,6,2.13,3.18,0,2223
121,61," 2022-10-20 - Stars 2, Maple Leafs 3",Toronto Maple Leafs,63.76666667,63,65,3,2,4.43,2.74,1,2223
122,61," 2022-10-20 - Stars 2, Maple Leafs 3",Dallas Stars,63.76666667,65,63,2,3,2.74,4.43,0,2223
123,62," 2022-10-20 - Kings 1, Penguins 6",Pittsburgh Penguins,60,57,74,6,1,2.64,3.76,1,2223
124,62," 2022-10-20 - Kings 1, Penguins 6",Los Angeles Kings,60,74,57,1,6,3.76,2.64,0,2223
125,63," 2022-10-20 - Predators 3, Blue Jackets 5",Columbus Blue Jackets,60,78,56,5,3,4.68,2.93,1,2223
126,63," 2022-10-20 - Predators 3, Blue Jackets 5",Nashville Predators,60,56,78,3,5,2.93,4.68,0,2223
127,64," 2022-10-20 - Sharks 3, Rangers 2",New York Rangers,60.81666667,55,55,2,3,2.92,2.55,1,2223
128,64," 2022-10-20 - Sharks 3, Rangers 2",San Jose Sharks,60.81666667,55,55,3,2,2.55,2.92,0,2223
129,65," 2022-10-20 - Capitals 2, Senators 5",Ottawa Senators,60,72,50,5,2,4.61,2.11,1,2223
130,65," 2022-10-20 - Capitals 2, Senators 5",Washington Capitals,60,50,72,2,5,2.11,4.61,0,2223
131,66," 2022-10-20 - Devils 4, Islanders 1",New York Islanders,60,48,77,1,4,1.6,5.59,1,2223
132,66," 2022-10-20 - Devils 4, Islanders 1",New Jersey Devils,60,77,48,4,1,5.59,1.6,0,2223
133,67," 2022-10-20 - Canucks 3, Wild 4",Minnesota Wild,63.03333333,60,56,4,3,3.14,3.06,1,2223
134,67," 2022-10-20 - Canucks 3, Wild 4",Vancouver Canucks,63.03333333,56,60,3,4,3.06,3.14,0,2223
135,68," 2022-10-20 - Sabres 6, Flames 3",Calgary Flames,60,65,65,3,6,2.87,4.39,1,2223
136,68," 2022-10-20 - Sabres 6, Flames 3",Buffalo Sabres,60,65,65,6,3,4.39,2.87,0,2223
137,69," 2022-10-20 - Hurricanes 4, Oilers 6",Edmonton Oilers,60,51,73,6,4,4.23,3.57,1,2223
138,69," 2022-10-20 - Hurricanes 4, Oilers 6",Carolina Hurricanes,60,73,51,4,6,3.57,4.23,0,2223
139,70," 2022-10-20 - Jets 2, Golden Knights 5",Vegas Golden Knights,60,53,50,5,2,3.58,1.42,1,2223
140,70," 2022-10-20 - Jets 2, Golden Knights 5",Winnipeg Jets,60,50,53,2,5,1.42,3.58,0,2223
141,71," 2022-10-21 - Lightning 3, Panthers 2",Florida Panthers,62.13333333,59,57,2,3,2.72,3.3,1,2223
142,71," 2022-10-21 - Lightning 3, Panthers 2",Tampa Bay Lightning,62.13333333,57,59,3,2,3.3,2.72,0,2223
143,72," 2022-10-21 - Red Wings 3, Blackhawks 4",Chicago Blackhawks,62.26666667,55,56,4,3,2.74,2.34,1,2223
144,72," 2022-10-21 - Red Wings 3, Blackhawks 4",Detroit Red Wings,62.26666667,56,55,3,4,2.34,2.74,0,2223
145,73," 2022-10-21 - Kraken 3, Avalanche 2",Colorado Avalanche,60,47,53,2,3,2.09,3.07,1,2223
146,73," 2022-10-21 - Kraken 3, Avalanche 2",Seattle Kraken,60,53,47,3,2,3.07,2.09,0,2223
147,74," 2022-10-22 - Wild 3, Bruins 4",Boston Bruins,64.81666667,75,46,4,3,4.38,1.77,1,2223
148,74," 2022-10-22 - Wild 3, Bruins 4",Minnesota Wild,64.81666667,46,75,3,4,1.77,4.38,0,2223
149,75," 2022-10-22 - Sharks 1, Devils 2",New Jersey Devils,60,54,56,2,1,3.49,2.14,1,2223
150,75," 2022-10-22 - Sharks 1, Devils 2",San Jose Sharks,60,56,54,1,2,2.14,3.49,0,2223
151,76," 2022-10-22 - Coyotes 2, Senators 6",Ottawa Senators,60,54,41,6,2,3.23,1.37,1,2223
152,76," 2022-10-22 - Coyotes 2, Senators 6",Arizona Coyotes,60,41,54,2,6,1.37,3.23,0,2223
153,77," 2022-10-22 - Blues 2, Oilers 0",Edmonton Oilers,60,58,41,0,2,2.07,2.62,1,2223
154,77," 2022-10-22 - Blues 2, Oilers 0",St Louis Blues,60,41,58,2,0,2.62,2.07,0,2223
155,78," 2022-10-22 - Stars 5, Canadiens 2",Montreal Canadiens,60,53,58,2,5,2.54,3.76,1,2223
156,78," 2022-10-22 - Stars 5, Canadiens 2",Dallas Stars,60,58,53,5,2,3.76,2.54,0,2223
157,79," 2022-10-22 - Kings 3, Capitals 4",Washington Capitals,60,66,53,4,3,2.64,1.9,1,2223
158,79," 2022-10-22 - Kings 3, Capitals 4",Los Angeles Kings,60,53,66,3,4,1.9,2.64,0,2223
159,80," 2022-10-22 - Islanders 3, Lightning 5",Tampa Bay Lightning,60,46,73,5,3,4.01,3.29,1,2223
160,80," 2022-10-22 - Islanders 3, Lightning 5",New York Islanders,60,73,46,3,5,3.29,4.01,0,2223
161,81," 2022-10-22 - Penguins 6, Blue Jackets 3",Columbus Blue Jackets,60,57,67,3,6,2.18,3.82,1,2223
162,81," 2022-10-22 - Penguins 6, Blue Jackets 3",Pittsburgh Penguins,60,67,57,6,3,3.82,2.18,0,2223
163,82," 2022-10-22 - Maple Leafs 4, Jets 1",Winnipeg Jets,60,55,63,1,4,2.98,3.55,1,2223
164,82," 2022-10-22 - Maple Leafs 4, Jets 1",Toronto Maple Leafs,60,63,55,4,1,3.55,2.98,0,2223
165,83," 2022-10-22 - Flyers 3, Predators 1",Nashville Predators,60,75,45,1,3,3.05,2.46,1,2223
166,83," 2022-10-22 - Flyers 3, Predators 1",Philadelphia Flyers,60,45,75,3,1,2.46,3.05,0,2223
167,84," 2022-10-22 - Sabres 5, Canucks 1",Vancouver Canucks,60,61,55,1,5,2.99,3.5,1,2223
168,84," 2022-10-22 - Sabres 5, Canucks 1",Buffalo Sabres,60,55,61,5,1,3.5,2.99,0,2223
169,85," 2022-10-22 - Hurricanes 2, Flames 3",Calgary Flames,64.5,45,57,3,2,2.5,3.1,1,2223
170,85," 2022-10-22 - Hurricanes 2, Flames 3",Carolina Hurricanes,64.5,57,45,2,3,3.1,2.5,0,2223
171,86," 2022-10-22 - Avalanche 3, Golden Knights 2",Vegas Golden Knights,60,62,66,2,3,3,1.72,1,2223
172,86," 2022-10-22 - Avalanche 3, Golden Knights 2",Colorado Avalanche,60,66,62,3,2,1.72,3,0,2223
173,87," 2022-10-23 - Kraken 4, Blackhawks 5",Chicago Blackhawks,60,48,64,5,4,2.4,3.08,1,2223
174,87," 2022-10-23 - Kraken 4, Blackhawks 5",Seattle Kraken,60,64,48,4,5,3.08,2.4,0,2223
175,88," 2022-10-23 - Ducks 1, Red Wings 5",Detroit Red Wings,60,53,64,5,1,3.76,3.2,1,2223
176,88," 2022-10-23 - Ducks 1, Red Wings 5",Anaheim Ducks,60,64,53,1,5,3.2,3.76,0,2223
177,89," 2022-10-23 - Blue Jackets 5, Rangers 1",New York Rangers,60,70,42,1,5,3.09,2.09,1,2223
178,89," 2022-10-23 - Blue Jackets 5, Rangers 1",Columbus Blue Jackets,60,42,70,5,1,2.09,3.09,0,2223
179,90," 2022-10-23 - Islanders 2, Panthers 3",Florida Panthers,60,60,44,3,2,3.42,2.32,1,2223
180,90," 2022-10-23 - Islanders 2, Panthers 3",New York Islanders,60,44,60,2,3,2.32,3.42,0,2223
181,91," 2022-10-23 - Sharks 3, Flyers 0",Philadelphia Flyers,60,57,53,0,3,2.28,2.38,1,2223
182,91," 2022-10-23 - Sharks 3, Flyers 0",San Jose Sharks,60,53,57,3,0,2.38,2.28,0,2223
183,92," 2022-10-24 - Stars 2, Senators 4",Ottawa Senators,60,67,55,4,2,3.81,2.94,1,2223
184,92," 2022-10-24 - Stars 2, Senators 4",Dallas Stars,60,55,67,2,4,2.94,3.81,0,2223
185,93," 2022-10-24 - Capitals 6, Devils 3",New Jersey Devils,60,68,43,3,6,4.51,2.06,1,2223
186,93," 2022-10-24 - Capitals 6, Devils 3",Washington Capitals,60,43,68,6,3,2.06,4.51,0,2223
187,94," 2022-10-24 - Penguins 3, Oilers 6",Edmonton Oilers,60,72,59,6,3,4.02,3,1,2223
188,94," 2022-10-24 - Penguins 3, Oilers 6",Pittsburgh Penguins,60,59,72,3,6,3,4.02,0,2223
