team_game_id,game_id,team,toi,cf,ca,gf,ga,is_home,season
1,1,Tampa Bay Lightning,60,61,65,5,3,1,2324
2,1,Nashville Predators,60,65,61,3,5,0,2324
3,2,Pittsburgh Penguins,60,71,73,2,4,1,2324
4,2,Chicago Blackhawks,60,73,71,4,2,0,2324
5,3,Vegas Golden Knights,60,61,71,4,1,1,2324
6,3,Seattle Kraken,60,71,61,1,4,0,2324
7,4,Carolina Hurricanes,60,79,56,5,3,1,2324
8,4,Ottawa Senators,60,56,79,3,5,0,2324
9,5,Toronto Maple Leafs,65,71,51,5,5,1,2324
10,5,Montreal Canadiens,65,51,71,5,5,0,2324
11,6,Boston Bruins,60,74,45,3,1,1,2324
12,6,Chicago Blackhawks,60,45,74,1,3,0,2324
13,7,Calgary Flames,60,45,83,5,3,1,2324
14,7,Winnipeg Jets,60,83,45,3,5,0,2324
15,8,Los Angeles Kings,60,73,60,2,5,1,2324
16,8,Colorado Avalanche,60,60,73,5,2,0,2324
17,9,Vancouver Canucks,60,54,55,8,1,1,2324
18,9,Edmonton Oilers,60,55,54,1,8,0,2324
19,10,Buffalo Sabres,60,61,57,1,5,1,2324
20,10,New York Rangers,60,57,61,5,1,0,2324
21,11,Columbus Blue Jackets,60,61,74,2,4,1,2324
22,11,Philadelphia Flyers,60,74,61,4,2,0,2324
23,12,New Jersey Devils,60,68,58,4,3,1,2324
24,12,Detroit Red Wings,60,58,68,3,4,0,2324
25,13,Dallas Stars,65,70,48,1,1,1,2324
26,13,St Louis Blues,65,48,70,1,1,0,2324
27,14,Minnesota Wild,60,40,83,2,0,1,2324
28,14,Florida Panthers,60,83,40,0,2,0,2324
29,15,Nashville Predators,60,74,61,3,0,1,2324
30,15,Seattle Kraken,60,61,74,0,3,0,2324
31,16,San Jose Sharks,60,47,61,1,4,1,2324
32,16,Vegas Golden Knights,60,61,47,4,1,0,2324
33,17,New Jersey Devils,65,66,53,3,3,1,2324
34,17,Arizona Coyotes,65,53,66,3,3,0,2324
35,18,Washington Capitals,60,54,68,0,4,1,2324
36,18,Pittsburgh Penguins,60,68,54,4,0,0,2324
37,19,Ottawa Senators,60,53,50,5,2,1,2324
38,19,Philadelphia Flyers,60,50,53,2,5,0,2324
39,20,Winnipeg Jets,60,54,67,6,4,1,2324
40,20,Florida Panthers,60,67,54,4,6,0,2324
41,21,Boston Bruins,60,60,72,3,2,1,2324
