pick_id,season_id,pick,round,owner,team
1,1,1,1,Andrew,Manchester City
2,1,2,1,David,Brooklyn Nets
3,1,3,1,Jeff,Chelsea
4,1,4,2,Jeff,Liverpool
5,1,5,2,David,Manchester United
6,1,6,2,Andrew,Los Angeles Lakers
7,1,7,3,Andrew,Kansas City Chiefs
8,1,8,3,David,Tampa Bay Buccaneers
9,1,9,3,Jeff,Colorado Avalanche
10,1,10,4,Jeff,Tampa Bay Lightning
11,1,11,4,David,Vegas Golden Knights
12,1,12,4,Andrew,Milwaukee Bucks
13,1,13,5,Andrew,Boston Bruins
14,1,14,5,David,Buffalo Bills
15,1,15,5,Jeff,Los Angeles Clippers
16,1,16,6,Jeff,Toronto Maple Leafs
17,1,17,6,David,New York Islanders
18,1,18,6,Andrew,Green Bay Packers
19,1,19,7,Andrew,Utah Jazz
20,1,20,7,David,Denver Nuggets
21,1,21,7,Jeff,Baltimore Ravens
22,1,22,8,Jeff,San Francisco 49ers
23,1,23,8,David,Los Angeles Rams
24,1,24,8,Andrew,Carolina Hurricanes
25,1,25,9,Andrew,Philadelphia 76ers
26,1,26,9,David,Cleveland Browns
27,1,27,9,Jeff,Phoenix Suns
28,1,28,10,Jeff,New York Rangers
29,1,29,10,David,Florida Panthers
30,1,30,10,Andrew,Tennessee Titans
31,1,31,11,Andrew,Golden State Warriors
32,1,32,11,David,Miami Heat
33,1,33,11,Jeff,Dallas Mavericks
34,1,34,12,Jeff,Miami Dolphins
35,1,35,12,David,Seattle Seahawks
36,1,36,12,Andrew,Pittsburgh Penguins
37,1,37,13,Andrew,Atlanta Hawks
38,1,38,13,David,Boston Celtics
39,1,39,13,Jeff,Dallas Stars
40,1,40,14,Jeff,Tottenham
41,1,41,14,David,Leicester City
42,1,42,14,Andrew,Minnesota Wild
43,1,43,15,Andrew,Arsenal
44,1,44,15,David,Washington Capitals
45,1,45,15,Jeff,Denver Broncos
46,1,46,16,Jeff,Montreal Canadiens
47,1,47,16,David,Calgary Flames
48,1,48,16,Andrew,Edmonton Oilers
49,1,49,17,Andrew,Dallas Cowboys
50,1,50,17,David,Arizona Cardinals
51,1,51,17,Jeff,Indianapolis Colts
52,1,52,18,Jeff,Los Angeles Chargers
53,1,53,18,David,New England Patriots
54,1,54,18,Andrew,New York Knicks
55,1,55,19,Andrew,St. Louis Blues
56,1,56,19,David,Chicago Bears
57,1,57,19,Jeff,New Orleans Saints
58,1,58,20,Jeff,Minnesota Vikings
59,1,59,20,David,Pittsburgh Steelers
60,1,60,20,Andrew,Winnipeg Jets
61,1,61,21,Andrew,Washington Football Team
62,1,62,21,David,Philadelphia Flyers
63,1,63,21,Jeff,New Orleans Pelicans
64,1,64,22,Jeff,New Jersey Devils
65,1,65,22,David,Portland Trail Blazers
66,1,66,22,Andrew,Indiana Pacers
67,1,67,23,Andrew,Chicago Bulls
68,1,68,23,David,Seattle Kraken
69,1,69,23,Jeff,Chicago Blackhawks
70,1,70,24,Jeff,Los Angeles Kings
71,1,71,24,David,Philadelphia Eagles
72,1,72,24,Andrew,Everton
73,1,73,25,Andrew,Charlotte Hornets
74,1,74,25,David,Nashville Predators
75,1,75,25,Jeff,West Ham
76,1,76,26,Jeff,Toronto Raptors
77,1,77,26,David,Oklahoma City Thunder
78,1,78,26,Andrew,Vancouver Canucks
79,1,79,27,Andrew,Memphis Grizzlies
80,1,80,27,David,Carolina Panthers
81,1,81,27,Jeff,Jacksonville Jaguars
82,1,82,28,Jeff,Ottawa Senators
83,1,83,28,David,Cincinnati Bengals
84,1,84,28,Andrew,Atlanta Falcons
85,1,85,29,Andrew,Washington Wizards
86,1,86,29,David,Leeds United
87,1,87,29,Jeff,Brighton
88,1,88,30,Jeff,Aston Villa
89,1,89,30,David,Las Vegas Raiders
90,1,90,30,Andrew,Wolves
91,1,91,31,Andrew,San Jose Sharks
92,1,92,31,David,New York Giants
93,1,93,31,Jeff,Columbus Blue Jackets
94,1,94,32,Jeff,Cleveland Cavaliers
95,1,95,32,David,Newcastle United
96,1,96,32,Andrew,Southampton
97,1,97,33,Andrew,Minnesota Timberwolves
98,1,98,33,David,Brentford
99,1,99,33,Jeff,San Antonio Spurs
100,1,100,34,Jeff,New York Jets
101,1,101,34,David,Detroit Red Wings
102,1,102,34,Andrew,Orlando Magic
103,1,103,35,Andrew,Houston Rockets
104,1,104,35,David,Buffalo Sabres
105,1,105,35,Jeff,Anaheim Ducks
106,1,106,36,Jeff,Sacramento Kings
107,1,107,36,David,Detroit Lions
108,1,108,36,Andrew,Watford
109,1,109,37,Andrew,Arizona Coyotes
110,1,110,37,David,Houston Texans
111,1,111,37,Jeff,Burnley
112,1,112,38,Jeff,Detroit Pistons
113,1,113,38,David,Crystal Palace
114,1,114,38,Andrew,Norwich City
115,2,1,1,David,Tampa Bay Lightning
116,2,2,1,Jeff,Skip
117,2,3,1,Andrew,Skip
118,2,4,2,Andrew,Skip
119,2,5,2,Jeff,Skip
120,2,6,2,David,Skip
121,2,7,3,David,Skip
122,2,8,3,Jeff,Skip
123,2,9,3,Andrew,Skip
124,2,10,4,Andrew,Skip
125,2,11,4,Jeff,Skip
126,2,12,4,David,Skip
127,2,13,5,David,Skip
128,2,14,5,Jeff,Skip
129,2,15,5,Andrew,Skip
130,2,16,6,Andrew,San Francisco 49ers
131,2,17,6,Jeff,Skip
132,2,18,6,David,Skip
133,2,19,7,David,Skip
134,2,20,7,Jeff,Skip
135,2,21,7,Andrew,Skip
136,2,22,8,Andrew,New York Rangers
137,2,23,8,Jeff,Skip
138,2,24,8,David,Skip
139,2,25,9,David,Pittsburgh Penguins
140,2,26,9,Jeff,Skip
141,2,27,9,Andrew,Skip
142,2,28,10,Andrew,Baltimore Ravens
143,2,29,10,Jeff,Skip
144,2,30,10,David,Skip
145,2,31,11,David,Skip
146,2,32,11,Jeff,Skip
147,2,33,11,Andrew,Skip
148,2,34,12,Andrew,Boston Bruins
149,2,35,12,Jeff,Skip
150,2,36,12,David,Skip
151,2,37,13,David,Skip
152,2,38,13,Jeff,Los Angeles Lakers
153,2,39,13,Andrew,Skip
154,2,40,14,Andrew,Brooklyn Nets
155,2,41,14,Jeff,Skip
156,2,42,14,David,Skip
157,2,43,15,David,Skip
158,2,44,15,Jeff,Atlanta Hawks
159,2,45,15,Andrew,Skip
160,2,46,16,Andrew,Chicago Bulls
161,2,47,16,Jeff,Skip
162,2,48,16,David,Skip
163,2,49,17,David,Skip
164,2,50,17,Jeff,Skip
165,2,51,17,Andrew,Skip
166,2,52,18,Andrew,Minnesota Vikings
167,2,53,18,Jeff,Skip
168,2,54,18,David,Tennessee Titans
169,2,55,19,David,New Orleans Pelicans
170,2,56,19,Jeff,Washington Capitals
171,2,57,19,Andrew,Skip
172,2,58,20,Andrew,Skip
173,2,59,20,Jeff,Skip
174,2,60,20,David,Skip
175,2,61,21,David,Dallas Stars
176,2,62,21,Jeff,Skip
177,2,63,21,Andrew,Skip
178,2,64,22,Andrew,West Ham
179,2,65,22,Jeff,New York Islanders
180,2,66,22,David,Cleveland Browns
181,2,67,23,David,Vancouver Canucks
182,2,68,23,Jeff,New Jersey Devils
183,2,69,23,Andrew,New Orleans Saints
184,2,70,24,Andrew,Charlotte Hornets
185,2,71,24,Jeff,New England Patriots
186,2,72,24,David,Skip
187,2,73,25,David,Leicester City
188,2,74,25,Jeff,New York Knicks
189,2,75,25,Andrew,Miami Dolphins
190,2,76,26,Andrew,Portland Trail Blazers
191,2,77,26,Jeff,Washington Commanders
192,2,78,26,David,Carolina Panthers
193,2,79,27,David,Anaheim Ducks
194,2,80,27,Jeff,Winnipeg Jets
195,2,81,27,Andrew,Everton
196,2,82,28,Andrew,Columbus Blue Jackets
197,2,83,28,Jeff,Pittsburgh Steelers
198,2,84,28,David,Skip
199,2,85,29,David,Skip
200,2,86,29,Jeff,Jacksonville Jaguars
201,2,87,29,Andrew,Chicago Bears
202,2,88,30,Andrew,Sacramento Kings
203,2,89,30,Jeff,New York Giants
204,2,90,30,David,Skip
205,2,91,31,David,Skip
206,2,92,31,Jeff,Washington Wizards
207,2,93,31,Andrew,Leeds United
208,2,94,32,Andrew,Utah Jazz
209,2,95,32,Jeff,Seattle Kraken
210,2,96,32,David,Wolves
211,2,97,33,David,Atlanta Falcons
212,2,98,33,Jeff,New York Jets
213,2,99,33,Andrew,San Jose Sharks
214,2,100,34,Andrew,Oklahoma City Thunder
215,2,101,34,Jeff,Southampton
216,2,102,34,David,Montreal Canadiens
217,2,103,35,David,Orlando Magic
218,2,104,35,Jeff,Indiana Pacers
219,2,105,35,Andrew,Seattle Seahawks
220,2,106,36,Andrew,Houston Texans
221,2,107,36,Jeff,Philadelphia Flyers
222,2,108,36,David,Arizona Coyotes
223,2,109,37,David,San Antonio Spurs
224,2,110,37,Jeff,Houston Rockets
225,2,111,37,Andrew,Chicago Blackhawks
226,2,112,38,Andrew,Nottingham Forest
227,2,113,38,Jeff,Fulham
228,2,114,38,David,Bournemouth
229,3,1,1,Jeff,Skip
230,3,2,1,Andrew,Colorado Avalanche
231,3,3,1,David,Skip
232,3,4,2,David,Skip
233,3,5,2,Andrew,Toronto Maple Leafs
234,3,6,2,Jeff,Skip
235,3,7,3,Jeff,Skip
236,3,8,3,Andrew,Skip
237,3,9,3,David,Skip
238,3,10,4,David,Skip
239,3,11,4,Andrew,Skip
240,3,12,4,Jeff,Skip
241,3,13,5,Jeff,Chelsea
242,3,14,5,Andrew,Skip
243,3,15,5,David,Skip
244,3,16,6,David,Skip
245,3,17,6,Andrew,Skip
246,3,18,6,Jeff,Skip
247,3,19,7,Jeff,Skip
248,3,20,7,Andrew,Skip
