keeper_id,season_id,owner,team
1,2,Andrew,Arsenal
2,2,Andrew,Carolina Hurricanes
3,2,Andrew,Dallas Cowboys
4,2,Andrew,Edmonton Oilers
5,2,Andrew,Golden State Warriors
6,2,Andrew,Green Bay Packers
7,2,Andrew,Kansas City Chiefs
8,2,Andrew,Manchester City
9,2,Andrew,Memphis Grizzlies
10,2,Andrew,Milwaukee Bucks
11,2,Andrew,Minnesota Timberwolves
12,2,Andrew,Minnesota Wild
13,2,Andrew,Philadelphia 76ers
14,2,Andrew,St. Louis Blues
15,2,David,Arizona Cardinals
16,2,David,Boston Celtics
17,2,David,Brentford
18,2,David,Buffalo Bills
19,2,David,Buffalo Sabres
20,2,David,Calgary Flames
21,2,David,Cincinnati Bengals
22,2,David,Crystal Palace
23,2,David,Denver Nuggets
24,2,David,Detroit Lions
25,2,David,Detroit Red Wings
26,2,David,Florida Panthers
27,2,David,Las Vegas Raiders
28,2,David,Los Angeles Rams
29,2,David,Manchester United
30,2,David,Miami Heat
31,2,David,Nashville Predators
32,2,David,Newcastle United
33,2,David,Philadelphia Eagles
34,2,David,Tampa Bay Buccaneers
35,2,David,Vegas Golden Knights
36,2,Jeff,Aston Villa
37,2,Jeff,Brighton
38,2,Jeff,Chelsea
39,2,Jeff,Cleveland Cavaliers
40,2,Jeff,Colorado Avalanche
41,2,Jeff,Dallas Mavericks
42,2,Jeff,Denver Broncos
43,2,Jeff,Detroit Pistons
44,2,Jeff,Indianapolis Colts
45,2,Jeff,Liverpool
46,2,Jeff,Los Angeles Chargers
47,2,Jeff,Los Angeles Clippers
48,2,Jeff,Los Angeles Kings
49,2,Jeff,Ottawa Senators
50,2,Jeff,Phoenix Suns
51,2,Jeff,Toronto Maple Leafs
52,2,Jeff,Toronto Raptors
53,2,Jeff,Tottenham
54,3,Andrew,Arsenal
55,3,Andrew,Baltimore Ravens
56,3,Andrew,Boston Bruins
57,3,Andrew,Carolina Hurricanes
58,3,Andrew,Chicago Bears
59,3,Andrew,Chicago Blackhawks
60,3,Andrew,Dallas Cowboys
61,3,Andrew,Edmonton Oilers
62,3,Andrew,Everton
63,3,Andrew,Golden State Warriors
64,3,Andrew,Kansas City Chiefs
65,3,Andrew,Manchester City
66,3,Andrew,Memphis Grizzlies
67,3,Andrew,Miami Dolphins
68,3,Andrew,Milwaukee Bucks
69,3,Andrew,Minnesota Timberwolves
70,3,Andrew,Minnesota Vikings
71,3,Andrew,Minnesota Wild
72,3,Andrew,New Orleans Saints
73,3,Andrew,New York Rangers
74,3,Andrew,Nottingham Forest
75,3,Andrew,Oklahoma City Thunder
76,3,Andrew,Philadelphia 76ers
77,3,Andrew,Sacramento Kings
78,3,Andrew,San Francisco 49ers
79,3,Andrew,Seattle Seahawks
80,3,David,Arizona Coyotes
81,3,David,Atlanta Falcons
82,3,David,Boston Celtics
83,3,David,Bournemouth
84,3,David,Buffalo Bills
85,3,David,Buffalo Sabres
86,3,David,Carolina Panthers
87,3,David,Cincinnati Bengals
88,3,David,Crystal Palace
89,3,David,Dallas Stars
90,3,David,Denver Nuggets
91,3,David,Detroit Lions
92,3,David,Manchester United
93,3,David,Montreal Canadiens
94,3,David,Newcastle United
95,3,David,Philadelphia Eagles
96,3,David,San Antonio Spurs
97,3,David,Vegas Golden Knights
98,3,Jeff,Aston Villa
99,3,Jeff,Brighton
100,3,Jeff,Cleveland Cavaliers
101,3,Jeff,Fulham
102,3,Jeff,Houston Rockets
103,3,Jeff,Indiana Pacers
104,3,Jeff,Jacksonville Jaguars
105,3,Jeff,Liverpool
