team_id,season_id,team,franchise,league
1,1,Anaheim Ducks,Anaheim Ducks,NHL
2,1,Arizona Cardinals,Arizona Cardinals,NFL
3,1,Arsenal,Arsenal,EPL
4,1,Aston Villa,Aston Villa,EPL
5,1,Atlanta Falcons,Atlanta Falcons,NFL
6,1,Atlanta Hawks,Atlanta Hawks,NBA
7,1,Baltimore Ravens,Baltimore Ravens,NFL
8,1,Boston Bruins,Boston Bruins,NHL
9,1,Boston Celtics,Boston Celtics,NBA
10,1,Brentford,Brentford,EPL
11,1,Brighton,Brighton,EPL
12,1,Brooklyn Nets,Brooklyn Nets,NBA
13,1,Buffalo Bills,Buffalo Bills,NFL
14,1,Buffalo Sabres,Buffalo Sabres,NHL
15,1,Burnley,Burnley,EPL
16,1,Calgary Flames,Calgary Flames,NHL
17,1,Carolina Hurricanes,Carolina Hurricanes,NHL
18,1,Carolina Panthers,Carolina Panthers,NFL
19,1,Charlotte Hornets,Charlotte Hornets,NBA
20,1,Chelsea,Chelsea,EPL
21,1,Chicago Bears,Chicago Bears,NFL
22,1,Chicago Blackhawks,Chicago Blackhawks,NHL
23,1,Chicago Bulls,Chicago Bulls,NBA
24,1,Cincinnati Bengals,Cincinnati Bengals,NFL
25,1,Cleveland Browns,Cleveland Browns,NFL
26,1,Cleveland Cavaliers,Cleveland Cavaliers,NBA
27,1,Colorado Avalanche,Colorado Avalanche,NHL
28,1,Columbus Blue Jackets,Columbus Blue Jackets,NHL
29,1,Crystal Palace,Crystal Palace,EPL
30,1,Dallas Cowboys,Dallas Cowboys,NFL
31,1,Dallas Mavericks,Dallas Mavericks,NBA
32,1,Dallas Stars,Dallas Stars,NHL
33,1,Denver Broncos,Denver Broncos,NFL
34,1,Denver Nuggets,Denver Nuggets,NBA
35,1,Detroit Lions,Detroit Lions,NFL
36,1,Detroit Pistons,Detroit Pistons,NBA
37,1,Detroit Red Wings,Detroit Red Wings,NHL
38,1,Edmonton Oilers,Edmonton Oilers,NHL
39,1,Everton,Everton,EPL
40,1,Florida Panthers,Florida Panthers,NHL
41,1,Golden State Warriors,Golden State Warriors,NBA
42,1,Green Bay Packers,Green Bay Packers,NFL
43,1,Houston Rockets,Houston Rockets,NBA
44,1,Houston Texans,Houston Texans,NFL
45,1,Indiana Pacers,Indiana Pacers,NBA
46,1,Indianapolis Colts,Indianapolis Colts,NFL
47,1,Jacksonville Jaguars,Jacksonville Jaguars,NFL
48,1,Kansas City Chiefs,Kansas City Chiefs,NFL
49,1,Las Vegas Raiders,Las Vegas Raiders,NFL
50,1,Leeds United,Leeds United,EPL
51,1,Leicester City,Leicester City,EPL
52,1,Liverpool,Liverpool,EPL
53,1,Los Angeles Chargers,Los Angeles Chargers,NFL
54,1,Los Angeles Clippers,Los Angeles Clippers,NBA
55,1,Los Angeles Kings,Los Angeles Kings,NHL
56,1,Los Angeles Lakers,Los Angeles Lakers,NBA
57,1,Los Angeles Rams,Los Angeles Rams,NFL
58,1,Manchester City,Manchester City,EPL
59,1,Manchester United,Manchester United,EPL
60,1,Memphis Grizzlies,Memphis Grizzlies,NBA
61,1,Miami Dolphins,Miami Dolphins,NFL
62,1,Miami Heat,Miami Heat,NBA
63,1,Milwaukee Bucks,Milwaukee Bucks,NBA
64,1,Minnesota Timberwolves,Minnesota Timberwolves,NBA
65,1,Minnesota Vikings,Minnesota Vikings,NFL
66,1,Minnesota Wild,Minnesota Wild,NHL
67,1,Montreal Canadiens,Montreal Canadiens,NHL
68,1,Nashville Predators,Nashville Predators,NHL
69,1,New England Patriots,New England Patriots,NFL
70,1,New Jersey Devils,New Jersey Devils,NHL
71,1,New Orleans Pelicans,New Orleans Pelicans,NBA
72,1,New Orleans Saints,New Orleans Saints,NFL
73,1,New York Giants,New York Giants,NFL
74,1,New York Islanders,New York Islanders,NHL
75,1,New York Jets,New York Jets,NFL
76,1,New York Knicks,New York Knicks,NBA
77,1,New York Rangers,New York Rangers,NHL
78,1,Newcastle United,Newcastle United,EPL
79,1,Norwich City,Norwich City,EPL
80,1,Oklahoma City Thunder,Oklahoma City Thunder,NBA
81,1,Orlando Magic,Orlando Magic,NBA
82,1,Ottawa Senators,Ottawa Senators,NHL
83,1,Philadelphia 76ers,Philadelphia 76ers,NBA
84,1,Philadelphia Eagles,Philadelphia Eagles,NFL
85,1,Philadelphia Flyers,Philadelphia Flyers,NHL
86,1,Phoenix Suns,Phoenix Suns,NBA
87,1,Pittsburgh Penguins,Pittsburgh Penguins,NHL
88,1,Pittsburgh Steelers,Pittsburgh Steelers,NFL
89,1,Portland Trail Blazers,Portland Trail Blazers,NBA
90,1,Sacramento Kings,Sacramento Kings,NBA
91,1,San Antonio Spurs,San Antonio Spurs,NBA
92,1,San Francisco 49ers,San Francisco 49ers,NFL
93,1,San Jose Sharks,San Jose Sharks,NHL
94,1,Seattle Kraken,Seattle Kraken,NHL
95,1,Seattle Seahawks,Seattle Seahawks,NFL
96,1,Southampton,Southampton,EPL
97,1,St. Louis Blues,St. Louis Blues,NHL
98,1,Tampa Bay Buccaneers,Tampa Bay Buccaneers,NFL
99,1,Tampa Bay Lightning,Tampa Bay Lightning,NHL
100,1,Tennessee Titans,Tennessee Titans,NFL
101,1,Toronto Maple Leafs,Toronto Maple Leafs,NHL
102,1,Toronto Raptors,Toronto Raptors,NBA
103,1,Tottenham,Tottenham,EPL
104,1,Utah Jazz,Utah Jazz,NBA
105,1,Arizona Coyotes,Utah Mammoth,NHL
106,1,Vancouver Canucks,Vancouver Canucks,NHL
107,1,Vegas Golden Knights,Vegas Golden Knights,NHL
108,1,Washington Capitals,Washington Capitals,NHL
109,1,Washington Football Team,Washington Commanders,NFL
110,1,Washington Wizards,Washington Wizards,NBA
111,1,Watford,Watford,EPL
112,1,West Ham,West Ham,EPL
113,1,Winnipeg Jets,Winnipeg Jets,NHL
114,1,Wolves,Wolves,EPL
115,2,Anaheim Ducks,Anaheim Ducks,NHL
116,2,Arizona Cardinals,Arizona Cardinals,NFL
117,2,Arsenal,Arsenal,EPL
