team,wins,draws,losses,win_rate,draw_rate,loss_rate,team_strength
Manchester City,24.5,8.5,5,0.6447,0.2237,0.1316,1.6532
Arsenal,21.25,8.5,8.25,0.5592,0.2237,0.2171,1.4339
Manchester United,18.75,8.5,10.75,0.4934,0.2237,0.2829,1.2652
Liverpool,20,8.5,9.5,0.5263,0.2237,0.2500,1.3495
Chelsea,19.5,8.5,10,0.5132,0.2237,0.2632,1.3158
Newcastle United,19.25,8.5,10.25,0.5066,0.2237,0.2697,1.2989
Tottenham,17.25,8.5,12.25,0.4539,0.2237,0.3224,1.1640
Brighton,16.5,8.5,13,0.4342,0.2237,0.3421,1.1134
Aston Villa,15.5,8.5,14,0.4079,0.2237,0.3684,1.0459
West Ham,13.5,8.5,16,0.3553,0.2237,0.4211,0.9109
Brentford,12.875,8.5,16.625,0.3388,0.2237,0.4375,0.8688
Crystal Palace,12.375,8.5,17.125,0.3257,0.2237,0.4507,0.8350
Everton,11.5,8.5,18,0.3026,0.2237,0.4737,0.7760
Burnley,11,8.5,18.5,0.2895,0.2237,0.4868,0.7422
Fulham,11.5,8.5,18,0.3026,0.2237,0.4737,0.7760
Wolverhampton,11.25,8.5,18.25,0.2961,0.2237,0.4803,0.7591
Nottingham Forest,11,8.5,18.5,0.2895,0.2237,0.4868,0.7422
Bournemouth,10.5,8.5,19,0.2763,0.2237,0.5000,0.7085
Sheffield United,9,8.5,20.5,0.2368,0.2237,0.5395,0.6073
Luton Town,8,8.5,21.5,0.2105,0.2237,0.5658,0.5398
