team,gd
Arsenal,1.115478952
Aston Villa,0.085025159
Bournemouth,-0.405545829
Brentford,-0.298684878
Brighton,-0.048556761
Chelsea,0.546599176
Crystal Palace,-0.061901087
Everton,-0.535487963
Fulham,-0.445787574
Ipswich Town,-0.55901343
Leicester City,-0.869328294
Liverpool,1.106783705
Manchester City,1.353802027
Manchester United,0.201945733
Newcastle United,0.318149713
Nottingham Forest,-0.422849106
Southampton,-0.691333571
Tottenham,0.36110807
West Ham,-0.181929416
Wolves,-0.568474626
