"game_id","season","game_date","start_time","away_team","away_points","home_team","home_points","box_score","overtimes","attendance","arena","notes"
"202110190LAL","2022",2021-10-19,"10:00p","Golden State Warriors","121","Los Angeles Lakers","114","Box Score","","18,997","Crypto.com Arena",""
"202110190MIL","2022",2021-10-19,"7:30p","Brooklyn Nets","104","Milwaukee Bucks","127","Box Score","","17,341","Fiserv Forum",""
"202110200CHO","2022",2021-10-20,"7:00p","Indiana Pacers","122","Charlotte Hornets","123","Box Score","","15,521","Spectrum Center",""
"202110200DET","2022",2021-10-20,"7:00p","Chicago Bulls","94","Detroit Pistons","88","Box Score","","20,088","Little Caesars Arena",""
"202110200MEM","2022",2021-10-20,"8:00p","Cleveland Cavaliers","121","Memphis Grizzlies","132","Box Score","","15,975","FedEx Forum",""
"202110200MIN","2022",2021-10-20,"8:00p","Houston Rockets","106","Minnesota Timberwolves","124","Box Score","","16,079","Target Center",""
"202110200NOP","2022",2021-10-20,"8:00p","Philadelphia 76ers","117","New Orleans Pelicans","97","Box Score","","12,845","Smoothie King Center",""
"202110200NYK","2022",2021-10-20,"7:30p","Boston Celtics","134","New York Knicks","138","Box Score","2OT","19,812","Madison Square Garden (IV)",""
"202110200PHO","2022",2021-10-20,"10:00p","Denver Nuggets","110","Phoenix Suns","98","Box Score","","16,074","Phoenix Suns Arena",""
"202110200POR","2022",2021-10-20,"10:00p","Sacramento Kings","124","Portland Trail Blazers","121","Box Score","","17,467","Moda Center",""
"202110200SAS","2022",2021-10-20,"8:30p","Orlando Magic","97","San Antonio Spurs","123","Box Score","","16,697","AT&T Center",""
"202110200TOR","2022",2021-10-20,"7:30p","Washington Wizards","98","Toronto Raptors","83","Box Score","","19,800","Scotiabank Arena",""
"202110200UTA","2022",2021-10-20,"9:00p","Oklahoma City Thunder","86","Utah Jazz","107","Box Score","","18,306","Vivint Smart Home Arena",""
"202110210ATL","2022",2021-10-21,"7:30p","Dallas Mavericks","87","Atlanta Hawks","113","Box Score","","17,162","State Farm Arena",""
"202110210GSW","2022",2021-10-21,"10:00p","Los Angeles Clippers","113","Golden State Warriors","115","Box Score","","18,064","Chase Center",""
"202110210MIA","2022",2021-10-21,"8:00p","Milwaukee Bucks","95","Miami Heat","137","Box Score","","19,600","FTX Arena",""
"202110220BOS","2022",2021-10-22,"7:30p","Toronto Raptors","115","Boston Celtics","83","Box Score","","19,156","TD Garden",""
"202110220CHI","2022",2021-10-22,"8:00p","New Orleans Pelicans","112","Chicago Bulls","128","Box Score","","20,995","United Center",""
"202110220CLE","2022",2021-10-22,"7:00p","Charlotte Hornets","123","Cleveland Cavaliers","112","Box Score","","17,116","Rocket Mortgage Fieldhouse",""
"202110220DEN","2022",2021-10-22,"9:00p","San Antonio Spurs","96","Denver Nuggets","102","Box Score","","19,520","Ball Arena",""
"202110220HOU","2022",2021-10-22,"8:00p","Oklahoma City Thunder","91","Houston Rockets","124","Box Score","","15,674","Toyota Center",""
"202110220LAL","2022",2021-10-22,"10:00p","Phoenix Suns","115","Los Angeles Lakers","105","Box Score","","18,997","Crypto.com Arena",""
"202110220ORL","2022",2021-10-22,"7:00p","New York Knicks","121","Orlando Magic","96","Box Score","","18,846","Amway Center",""
"202110220PHI","2022",2021-10-22,"7:30p","Brooklyn Nets","114","Philadelphia 76ers","109","Box Score","","20,367","Wells Fargo Center",""
"202110220SAC","2022",2021-10-22,"10:00p","Utah Jazz","110","Sacramento Kings","101","Box Score","","17,583","Golden 1 Center",""
"202110220WAS","2022",2021-10-22,"7:00p","Indiana Pacers","134","Washington Wizards","135","Box Score","OT","15,407","Capital One Arena",""
"202110230CHI","2022",2021-10-23,"8:00p","Detroit Pistons","82","Chicago Bulls","97","Box Score","","18,888","United Center",""
"202110230CLE","2022",2021-10-23,"6:00p","Atlanta Hawks","95","Cleveland Cavaliers","101","Box Score","","16,846","Rocket Mortgage Fieldhouse",""
"202110230IND","2022",2021-10-23,"7:00p","Miami Heat","91","Indiana Pacers","102","Box Score","OT","17,147","Gainbridge Fieldhouse",""
"202110230LAC","2022",2021-10-23,"10:30p","Memphis Grizzlies","120","Los Angeles Clippers","114","Box Score","","16,748","Crypto.com Arena",""
"202110230MIN","2022",2021-10-23,"8:00p","New Orleans Pelicans","89","Minnesota Timberwolves","96","Box Score","","15,343","Target Center",""
"202110230POR","2022",2021-10-23,"10:00p","Phoenix Suns","105","Portland Trail Blazers","134","Box Score","","18,558","Moda Center",""
"202110230SAS","2022",2021-10-23,"8:30p","Milwaukee Bucks","121","San Antonio Spurs","111","Box Score","","14,353","AT&T Center",""
"202110230TOR","2022",2021-10-23,"7:30p","Dallas Mavericks","103","Toronto Raptors","95","Box Score","","19,800","Scotiabank Arena",""
"202110240BRK","2022",2021-10-24,"4:00p","Charlotte Hornets","111","Brooklyn Nets","95","Box Score","","17,732","Barclays Center",""
"202110240HOU","2022",2021-10-24,"7:00p","Boston Celtics","107","Houston Rockets","97","Box Score","","16,069","Toyota Center",""
"202110240LAL","2022",2021-10-24,"9:30p","Memphis Grizzlies","118","Los Angeles Lakers","121","Box Score","","18,997","Crypto.com Arena",""
"202110240NYK","2022",2021-10-24,"7:00p","Orlando Magic","110","New York Knicks","104","Box Score","","16,273","Madison Square Garden (IV)",""
"202110240OKC","2022",2021-10-24,"7:00p","Philadelphia 76ers","115","Oklahoma City Thunder","103","Box Score","","14,256","Paycom Center",""
"202110240SAC","2022",2021-10-24,"9:00p","Golden State Warriors","119","Sacramento Kings","107","Box Score","","13,876","Golden 1 Center",""
"202110250ATL","2022",2021-10-25,"7:30p","Detroit Pistons","104","Atlanta Hawks","122","Box Score","","14,209","State Farm Arena",""
"202110250BRK","2022",2021-10-25,"7:30p","Washington Wizards","90","Brooklyn Nets","104","Box Score","","14,487","Barclays Center",""
"202110250CHO","2022",2021-10-25,"7:00p","Boston Celtics","140","Charlotte Hornets","129","Box Score","OT","17,238","Spectrum Center",""
"202110250DEN","2022",2021-10-25,"9:00p","Cleveland Cavaliers","99","Denver Nuggets","87","Box Score","","14,221","Ball Arena",""
"202110250IND","2022",2021-10-25,"7:00p","Milwaukee Bucks","119","Indiana Pacers","109","Box Score","","10,339","Gainbridge Fieldhouse",""
"202110250LAC","2022",2021-10-25,"10:30p","Portland Trail Blazers","86","Los Angeles Clippers","116","Box Score","","15,672","Crypto.com Arena",""
"202110250MIA","2022",2021-10-25,"7:30p","Orlando Magic","90","Miami Heat","107","Box Score","","19,600","FTX Arena",""
"202110250MIN","2022",2021-10-25,"8:00p","New Orleans Pelicans","107","Minnesota Timberwolves","98","Box Score","","14,435","Target Center",""
"202110250TOR","2022",2021-10-25,"7:30p","Chicago Bulls","111","Toronto Raptors","108","Box Score","","19,800","Scotiabank Arena",""
"202110260DAL","2022",2021-10-26,"8:30p","Houston Rockets","106","Dallas Mavericks","116","Box Score","","19,337","American Airlines Center",""
"202110260NYK","2022",2021-10-26,"7:30p","Philadelphia 76ers","99","New York Knicks","112","Box Score","","15,218","Madison Square Garden (IV)",""
"202110260OKC","2022",2021-10-26,"8:00p","Golden State Warriors","106","Oklahoma City Thunder","98","Box Score","","0","Paycom Center",""
"202110260SAS","2022",2021-10-26,"8:30p","Los Angeles Lakers","125","San Antonio Spurs","121","Box Score","OT","18,354","AT&T Center",""
"202110260UTA","2022",2021-10-26,"10:00p","Denver Nuggets","110","Utah Jazz","122","Box Score","","18,306","Vivint Smart Home Arena",""
"202110270BOS","2022",2021-10-27,"7:30p","Washington Wizards","116","Boston Celtics","107","Box Score","","19,156","TD Garden",""
"202110270BRK","2022",2021-10-27,"7:30p","Miami Heat","106","Brooklyn Nets","93","Box Score","","17,732","Barclays Center",""
"202110270LAC","2022",2021-10-27,"10:30p","Cleveland Cavaliers","92","Los Angeles Clippers","79","Box Score","","13,276","Crypto.com Arena",""
"202110270MIL","2022",2021-10-27,"8:00p","Minnesota Timberwolves","113","Milwaukee Bucks","108","Box Score","","17,341","Fiserv Forum",""
"202110270NOP","2022",2021-10-27,"7:30p","Atlanta Hawks","102","New Orleans Pelicans","99","Box Score","","15,541","Smoothie King Center",""
"202110270OKC","2022",2021-10-27,"8:00p","Los Angeles Lakers","115","Oklahoma City Thunder","123","Box Score","","15,783","Paycom Center",""
"202110270ORL","2022",2021-10-27,"7:00p","Charlotte Hornets","120","Orlando Magic","111","Box Score","","14,082","Amway Center",""
"202110270PHO","2022",2021-10-27,"10:00p","Sacramento Kings","110","Phoenix Suns","107","Box Score","","14,678","Phoenix Suns Arena",""
"202110270POR","2022",2021-10-27,"10:00p","Memphis Grizzlies","96","Portland Trail Blazers","116","Box Score","","16,241","Moda Center",""
"202110270TOR","2022",2021-10-27,"7:30p","Indiana Pacers","100","Toronto Raptors","118","Box Score","","19,800","Scotiabank Arena",""
"202110280CHI","2022",2021-10-28,"8:00p","New York Knicks","104","Chicago Bulls","103","Box Score","","20,972","United Center",""
"202110280DAL","2022",2021-10-28,"8:30p","San Antonio Spurs","99","Dallas Mavericks","104","Box Score","","19,228","American Airlines Center",""
"202110280GSW","2022",2021-10-28,"10:00p","Memphis Grizzlies","104","Golden State Warriors","101","Box Score","OT","18,064","Chase Center",""
"202110280HOU","2022",2021-10-28,"8:00p","Utah Jazz","122","Houston Rockets","91","Box Score","","15,858","Toyota Center",""
"202110280PHI","2022",2021-10-28,"7:00p","Detroit Pistons","102","Philadelphia 76ers","110","Box Score","","20,017","Wells Fargo Center",""
"202110280WAS","2022",2021-10-28,"7:00p","Atlanta Hawks","111","Washington Wizards","122","Box Score","","13,653","Capital One Arena",""
"202110290BRK","2022",2021-10-29,"7:30p","Indiana Pacers","98","Brooklyn Nets","105","Box Score","","16,139","Barclays Center",""
"202110290DEN","2022",2021-10-29,"10:00p","Dallas Mavericks","75","Denver Nuggets","106","Box Score","","18,315","Ball Arena",""
"202110290LAL","2022",2021-10-29,"10:30p","Cleveland Cavaliers","101","Los Angeles Lakers","113","Box Score","","18,997","Crypto.com Arena",""
"202110290MIA","2022",2021-10-29,"7:30p","Charlotte Hornets","99","Miami Heat","114","Box Score","","19,600","FTX Arena",""
"202110290NOP","2022",2021-10-29,"8:00p","Sacramento Kings","113","New Orleans Pelicans","109","Box Score","","17,507","Smoothie King Center",""
"202110290POR","2022",2021-10-29,"10:00p","Los Angeles Clippers","92","Portland Trail Blazers","111","Box Score","","16,510","Moda Center",""
"202110290TOR","2022",2021-10-29,"7:00p","Orlando Magic","109","Toronto Raptors","110","Box Score","","19,800","Scotiabank Arena",""
"202110300CHI","2022",2021-10-30,"8:00p","Utah Jazz","99","Chicago Bulls","107","Box Score","","20,668","United Center",""
"202110300DET","2022",2021-10-30,"7:00p","Orlando Magic","103","Detroit Pistons","110","Box Score","","11,423","Little Caesars Arena",""
"202110300GSW","2022",2021-10-30,"8:30p","Oklahoma City Thunder","82","Golden State Warriors","103","Box Score","","18,064","Chase Center",""
"202110300IND","2022",2021-10-30,"7:30p","Toronto Raptors","97","Indiana Pacers","94","Box Score","","10,578","Gainbridge Fieldhouse",""
"202110300MEM","2022",2021-10-30,"8:00p","Miami Heat","129","Memphis Grizzlies","103","Box Score","","15,989","FedEx Forum",""
"202110300MIL","2022",2021-10-30,"8:00p","San Antonio Spurs","102","Milwaukee Bucks","93","Box Score","","17,341","Fiserv Forum",""
"202110300MIN","2022",2021-10-30,"9:00p","Denver Nuggets","93","Minnesota Timberwolves","91","Box Score","","17,136","Target Center",""
"202110300NOP","2022",2021-10-30,"7:00p","New York Knicks","123","New Orleans Pelicans","117","Box Score","","16,508","Smoothie King Center",""
"202110300PHI","2022",2021-10-30,"7:30p","Atlanta Hawks","94","Philadelphia 76ers","122","Box Score","","20,031","Wells Fargo Center",""
"202110300PHO","2022",2021-10-30,"10:00p","Cleveland Cavaliers","92","Phoenix Suns","101","Box Score","","14,516","Phoenix Suns Arena",""
"202110300WAS","2022",2021-10-30,"5:00p","Boston Celtics","112","Washington Wizards","115","Box Score","2OT","15,813","Capital One Arena",""
"202110310BRK","2022",2021-10-31,"7:30p","Detroit Pistons","91","Brooklyn Nets","117","Box Score","","13,507","Barclays Center",""
"202110310CHO","2022",2021-10-31,"7:00p","Portland Trail Blazers","113","Charlotte Hornets","125","Box Score","","14,960","Spectrum Center",""
"202110310DAL","2022",2021-10-31,"3:30p","Sacramento Kings","99","Dallas Mavericks","105","Box Score","","19,231","American Airlines Center",""
"202110310LAL","2022",2021-10-31,"10:30p","Houston Rockets","85","Los Angeles Lakers","95","Box Score","","16,448","Crypto.com Arena",""
"202110310MIL","2022",2021-10-31,"7:00p","Utah Jazz","107","Milwaukee Bucks","95","Box Score","","17,341","Fiserv Forum",""
"202111010ATL","2022",2021-11-01,"7:30p","Washington Wizards","111","Atlanta Hawks","118","Box Score","","14,632","State Farm Arena",""
"202111010BOS","2022",2021-11-01,"7:30p","Chicago Bulls","128","Boston Celtics","114","Box Score","","19,156","TD Garden",""
"202111010CHO","2022",2021-11-01,"7:00p","Cleveland Cavaliers","113","Charlotte Hornets","110","Box Score","","13,889","Spectrum Center",""
"202111010IND","2022",2021-11-01,"7:00p","San Antonio Spurs","118","Indiana Pacers","131","Box Score","","10,227","Gainbridge Fieldhouse",""
"202111010LAC","2022",2021-11-01,"10:30p","Oklahoma City Thunder","94","Los Angeles Clippers","99","Box Score","","13,722","Crypto.com Arena",""
"202111010MEM","2022",2021-11-01,"8:00p","Denver Nuggets","97","Memphis Grizzlies","106","Box Score","","12,683","FedEx Forum",""
"202111010MIN","2022",2021-11-01,"8:00p","Orlando Magic","115","Minnesota Timberwolves","97","Box Score","","14,744","Target Center",""
"202111010NYK","2022",2021-11-01,"7:30p","Toronto Raptors","113","New York Knicks","104","Box Score","","16,528","Madison Square Garden (IV)",""
"202111010PHI","2022",2021-11-01,"7:00p","Portland Trail Blazers","103","Philadelphia 76ers","113","Box Score","","20,115","Wells Fargo Center",""
"202111020DAL","2022",2021-11-02,"7:30p","Miami Heat","125","Dallas Mavericks","110","Box Score","","19,255","American Airlines Center",""
"202111020DET","2022",2021-11-02,"7:00p","Milwaukee Bucks","117","Detroit Pistons","89","Box Score","","9,254","Little Caesars Arena",""
"202111020LAL","2022",2021-11-02,"10:30p","Houston Rockets","117","Los Angeles Lakers","119","Box Score","","18,997","Crypto.com Arena",""
"202111020PHO","2022",2021-11-02,"10:00p","New Orleans Pelicans","100","Phoenix Suns","112","Box Score","","14,323","Phoenix Suns Arena",""
"202111020UTA","2022",2021-11-02,"9:00p","Sacramento Kings","113","Utah Jazz","119","Box Score","","18,306","Vivint Smart Home Arena",""
"202111030BRK","2022",2021-11-03,"7:30p","Atlanta Hawks","108","Brooklyn Nets","117","Box Score","","17,323","Barclays Center",""
"202111030CLE","2022",2021-11-03,"7:00p","Portland Trail Blazers","104","Cleveland Cavaliers","107","Box Score","","16,231","Rocket Mortgage Fieldhouse",""
"202111030GSW","2022",2021-11-03,"10:00p","Charlotte Hornets","92","Golden State Warriors","114","Box Score","","18,064","Chase Center",""
"202111030IND","2022",2021-11-03,"7:00p","New York Knicks","98","Indiana Pacers","111","Box Score","","11,607","Gainbridge Fieldhouse",""
"202111030MEM","2022",2021-11-03,"8:00p","Denver Nuggets","106","Memphis Grizzlies","108","Box Score","","12,977","FedEx Forum",""
"202111030MIN","2022",2021-11-03,"8:00p","Los Angeles Clippers","126","Minnesota Timberwolves","115","Box Score","","15,386","Target Center",""
"202111030ORL","2022",2021-11-03,"7:00p","Boston Celtics","92","Orlando Magic","79","Box Score","","12,735","Amway Center",""
"202111030PHI","2022",2021-11-03,"7:00p","Chicago Bulls","98","Philadelphia 76ers","103","Box Score","","20,438","Wells Fargo Center",""
"202111030SAC","2022",2021-11-03,"10:00p","New Orleans Pelicans","99","Sacramento Kings","112","Box Score","","0","Golden 1 Center",""
"202111030SAS","2022",2021-11-03,"8:30p","Dallas Mavericks","109","San Antonio Spurs","108","Box Score","","16,356","AT&T Center",""
"202111030WAS","2022",2021-11-03,"7:00p","Toronto Raptors","109","Washington Wizards","100","Box Score","","13,538","Capital One Arena",""
"202111040ATL","2022",2021-11-04,"7:30p","Utah Jazz","116","Atlanta Hawks","98","Box Score","","16,590","State Farm Arena",""
"202111040DET","2022",2021-11-04,"7:00p","Philadelphia 76ers","109","Detroit Pistons","98","Box Score","","8,702","Little Caesars Arena",""
"202111040LAL","2022",2021-11-04,"10:30p","Oklahoma City Thunder","107","Los Angeles Lakers","104","Box Score","","18,997","Crypto.com Arena",""
"202111040MIA","2022",2021-11-04,"7:30p","Boston Celtics","95","Miami Heat","78","Box Score","","19,600","FTX Arena",""
"202111040PHO","2022",2021-11-04,"10:00p","Houston Rockets","111","Phoenix Suns","123","Box Score","","15,058","Phoenix Suns Arena",""
"202111050DET","2022",2021-11-05,"7:00p","Brooklyn Nets","96","Detroit Pistons","90","Box Score","","14,235","Little Caesars Arena",""
"202111050GSW","2022",2021-11-05,"10:00p","New Orleans Pelicans","85","Golden State Warriors","126","Box Score","","18,064","Chase Center",""
"202111050MIL","2022",2021-11-05,"7:30p","New York Knicks","113","Milwaukee Bucks","98","Box Score","","17,341","Fiserv Forum",""
"202111050MIN","2022",2021-11-05,"8:00p","Los Angeles Clippers","104","Minnesota Timberwolves","84","Box Score","","17,136","Target Center",""
"202111050ORL","2022",2021-11-05,"7:00p","San Antonio Spurs","102","Orlando Magic","89","Box Score","","14,101","Amway Center",""
"202111050POR","2022",2021-11-05,"10:00p","Indiana Pacers","106","Portland Trail Blazers","110","Box Score","","16,841","Moda Center",""
"202111050SAC","2022",2021-11-05,"10:00p","Charlotte Hornets","110","Sacramento Kings","140","Box Score","","14,905","Golden 1 Center",""
"202111050TOR","2022",2021-11-05,"7:30p","Cleveland Cavaliers","102","Toronto Raptors","101","Box Score","","19,800","Scotiabank Arena",""
"202111050WAS","2022",2021-11-05,"7:00p","Memphis Grizzlies","87","Washington Wizards","115","Box Score","","16,302","Capital One Arena",""
"202111060CHI","2022",2021-11-06,"8:00p","Philadelphia 76ers","114","Chicago Bulls","105","Box Score","","20,936","United Center",""
"202111060DAL","2022",2021-11-06,"8:30p","Boston Celtics","104","Dallas Mavericks","107","Box Score","","20,052","American Airlines Center",""
"202111060DEN","2022",2021-11-06,"5:00p","Houston Rockets","94","Denver Nuggets","95","Box Score","","16,046","Ball Arena",""
"202111060MIA","2022",2021-11-06,"7:30p","Utah Jazz","115","Miami Heat","118","Box Score","","19,600","FTX Arena",""
"202111060PHO","2022",2021-11-06,"10:00p","Atlanta Hawks","117","Phoenix Suns","121","Box Score","","15,412","Phoenix Suns Arena",""
"202111060POR","2022",2021-11-06,"10:30p","Los Angeles Lakers","90","Portland Trail Blazers","105","Box Score","","19,393","Moda Center",""
"202111070GSW","2022",2021-11-07,"8:30p","Houston Rockets","107","Golden State Warriors","120","Box Score","","18,064","Chase Center",""
"202111070LAC","2022",2021-11-07,"9:00p","Charlotte Hornets","106","Los Angeles Clippers","120","Box Score","","15,781","Crypto.com Arena",""
"202111070NYK","2022",2021-11-07,"6:00p","Cleveland Cavaliers","126","New York Knicks","109","Box Score","","19,040","Madison Square Garden (IV)",""
"202111070OKC","2022",2021-11-07,"7:00p","San Antonio Spurs","94","Oklahoma City Thunder","99","Box Score","","12,972","Paycom Center",""
"202111070ORL","2022",2021-11-07,"6:00p","Utah Jazz","100","Orlando Magic","107","Box Score","","13,386","Amway Center",""
"202111070SAC","2022",2021-11-07,"6:00p","Indiana Pacers","94","Sacramento Kings","91","Box Score","","12,993","Golden 1 Center",""
"202111070TOR","2022",2021-11-07,"3:30p","Brooklyn Nets","116","Toronto Raptors","103","Box Score","","19,800","Scotiabank Arena",""
"202111070WAS","2022",2021-11-07,"6:00p","Milwaukee Bucks","94","Washington Wizards","101","Box Score","","15,570","Capital One Arena",""
"202111080CHI","2022",2021-11-08,"8:00p","Brooklyn Nets","95","Chicago Bulls","118","Box Score","","19,459","United Center",""
"202111080DAL","2022",2021-11-08,"8:30p","New Orleans Pelicans","92","Dallas Mavericks","108","Box Score","","19,231","American Airlines Center",""
"202111080DEN","2022",2021-11-08,"9:00p","Miami Heat","96","Denver Nuggets","113","Box Score","","15,577","Ball Arena",""
"202111080GSW","2022",2021-11-08,"10:00p","Atlanta Hawks","113","Golden State Warriors","127","Box Score","","18,064","Chase Center",""
"202111080LAL","2022",2021-11-08,"10:30p","Charlotte Hornets","123","Los Angeles Lakers","126","Box Score","OT","18,997","Crypto.com Arena",""
"202111080MEM","2022",2021-11-08,"8:00p","Minnesota Timberwolves","118","Memphis Grizzlies","125","Box Score","OT","12,416","FedEx Forum",""
"202111080PHI","2022",2021-11-08,"7:00p","New York Knicks","103","Philadelphia 76ers","96","Box Score","","20,224","Wells Fargo Center",""
"202111080SAC","2022",2021-11-08,"10:00p","Phoenix Suns","109","Sacramento Kings","104","Box Score","","13,566","Golden 1 Center",""
"202111090LAC","2022",2021-11-09,"10:00p","Portland Trail Blazers","109","Los Angeles Clippers","117","Box Score","","14,131","Crypto.com Arena",""
"202111090PHI","2022",2021-11-09,"7:30p","Milwaukee Bucks","118","Philadelphia 76ers","109","Box Score","","20,029","Wells Fargo Center",""
"202111090UTA","2022",2021-11-09,"9:00p","Atlanta Hawks","98","Utah Jazz","110","Box Score","","18,306","Vivint Smart Home Arena",""
"202111100BOS","2022",2021-11-10,"7:30p","Toronto Raptors","88","Boston Celtics","104","Box Score","","19,156","TD Garden",""
"202111100CHI","2022",2021-11-10,"8:00p","Dallas Mavericks","107","Chicago Bulls","117","Box Score","","20,910","United Center",""
"202111100CLE","2022",2021-11-10,"7:00p","Washington Wizards","97","Cleveland Cavaliers","94","Box Score","","18,056","Rocket Mortgage Fieldhouse",""
"202111100DEN","2022",2021-11-10,"9:00p","Indiana Pacers","98","Denver Nuggets","101","Box Score","","15,232","Ball Arena",""
"202111100GSW","2022",2021-11-10,"10:00p","Minnesota Timberwolves","110","Golden State Warriors","123","Box Score","","18,064","Chase Center",""
