"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2025","Abilene Christian",70.0679,72,69.4758,68,95.6706,346,97.6979,328,100.773,60,102.177,90,-4.47885,220
"2025","Air Force",64.6651,334,64.4908,325,95.3082,347,98.7195,316,113.105,335,111.75,276,-13.031,311
"2025","Akron",72.4588,15,71.4794,16,115.754,22,113.946,66,104.558,142,106.999,182,6.94707,96
"2025","Alabama",76.2512,1,74.9496,1,118.725,9,126.518,4,106.121,174,96.6706,32,29.8473,6
"2025","Alabama A&M",71.8121,21,71.0972,22,94.8255,352,92.0996,361,109.965,275,115.569,334,-23.4698,360
"2025","Alabama St.",69.0935,115,67.9891,140,103.535,238,101.383,273,104.421,134,110.316,249,-8.93346,270
"2025","Albany",68.3589,162,67.5767,162,106.374,170,103.255,235,107.778,218,112.359,288,-9.10329,273
"2025","Alcorn St.",66.2947,272,64.7544,315,98.3786,325,97.6672,331,108.655,243,112.251,282,-14.5838,324
"2025","American",63.706,356,63.6735,349,104.782,208,102.402,248,105.745,169,109.084,223,-6.68133,249
"2025","Appalachian St.",63.822,354,63.2312,351,102.956,254,101.221,276,100.587,56,101.572,78,-0.351583,168
"2025","Arizona",70.2006,64,69.9595,56,115.408,27,122.63,12,102.537,88,96.8949,33,25.7355,14
"2025","Arizona St.",69.9259,80,68.4774,114,104.136,226,112.555,80,107.936,224,101.305,75,11.2496,71
"2025","Arkansas",70.4934,55,69.4914,67,108.004,134,113.326,72,100.724,58,95.2591,18,18.0664,39
"2025","Arkansas Pine Bluff",72.5224,14,71.4626,17,96.803,338,95.1549,349,117.868,356,121.189,359,-26.0342,363
"2025","Arkansas St.",70.5143,53,70.1362,49,111.509,71,111.219,96,99.6146,34,102.172,89,9.04668,87
"2025","Army",67.601,195,67.6754,156,102.986,252,99.781,298,110.57,288,114.424,319,-14.6435,325
"2025","Auburn",68.982,125,67.8524,144,120.794,4,127.983,2,100.369,49,93.4448,12,34.5385,4
"2025","Austin Peay",66.9383,235,66.1725,244,103.528,240,101.883,257,111.909,313,111.187,264,-9.30425,275
"2025","Ball St.",68.2285,168,66.48,225,107.122,155,103.626,231,109.461,261,112.68,298,-9.05439,272
"2025","Baylor",65.4265,312,64.6253,320,113.197,45,120.92,16,104.882,151,99.6952,56,21.2244,29
"2025","Bellarmine",67.1705,224,66.2713,237,104.599,215,103.78,227,120.141,362,121.528,360,-17.7478,341
"2025","Belmont",70.2996,57,70.6377,31,111.647,66,112.54,81,108.915,250,108.93,219,3.61005,128
"2025","Bethune Cookman",69.6409,90,69.1192,78,98.5583,322,97.3997,332,103.684,109,107.933,199,-10.5331,287
"2025","Binghamton",66.3968,265,65.8018,270,101.991,275,98.8392,313,108.619,242,112.757,302,-13.918,319
"2025","Boise St.",65.6615,303,65.3023,292,112.508,59,115.708,51,100.567,55,100.396,62,15.3125,50
"2025","Boston College",66.9241,237,66.8298,212,102.368,268,105.327,209,109.965,274,107.332,186,-2.00464,184
"2025","Boston University",63.6886,357,63.1654,352,101.383,288,98.9952,311,105.432,162,111.413,269,-12.4177,304
"2025","Bowling Green",69.9008,81,68.7925,95,102.921,255,99.1387,307,107.562,212,109.717,236,-10.5779,288
"2025","Bradley",66.2481,275,65.83,269,112.627,52,111.315,92,103.41,104,103.745,109,7.5697,92
"2025","Brown",67.3392,215,65.869,265,104.399,220,103.167,236,105.673,167,106.845,177,-3.67878,210
"2025","Bryant",73.1553,6,72.591,7,109.684,100,106.8,176,101.286,66,105.596,149,1.20395,147
"2025","Bucknell",67.5039,201,67.3339,182,105.124,199,102.675,246,103.376,103,107.728,193,-5.05268,225
"2025","Buffalo",72.1823,17,70.8099,29,97.4868,332,96.4402,340,113.151,336,113.777,311,-17.3371,339
"2025","Butler",67.3138,216,67.5293,166,109.54,104,116.351,41,109.494,263,105.423,143,10.928,75
"2025","BYU",67.7008,191,67.3078,183,117.373,12,123.464,10,102.989,96,100.715,69,22.7486,24
"2025","Cal Baptist",67.4468,205,65.7775,272,104.443,218,105.738,204,102.647,90,106.218,160,-0.480164,169
"2025","Cal Poly",74.7494,3,74.5512,3,107.266,152,109.355,125,109.922,273,111.34,267,-1.98406,183
"2025","Cal St. Bakersfield",67.1759,223,66.1126,246,105.857,181,106.203,191,111.148,299,112.601,295,-6.39802,245
"2025","Cal St. Fullerton",68.9146,129,68.2094,129,90.6471,360,93.7229,356,113.953,339,112.449,291,-18.7263,351
