id,game_id,round_id,s_curve_a,s_curve_b
1,1,1,1,64
2,2,1,2,63
3,3,1,3,62
4,4,1,4,61
5,5,1,5,60
6,6,1,6,59
7,7,1,7,58
8,8,1,8,57
9,9,1,9,56
10,10,1,10,55
11,11,1,11,54
12,12,1,12,53
13,13,1,13,52
14,14,1,14,51
15,15,1,15,50
16,16,1,16,49
17,17,1,17,48
18,18,1,18,47
19,19,1,19,46
20,20,1,20,45
21,21,1,21,44
22,22,1,22,43
23,23,1,23,42
24,24,1,24,41
25,25,1,25,40
26,26,1,26,39
27,27,1,27,38
28,28,1,28,37
29,29,1,29,36
30,30,1,30,35
31,31,1,31,34
32,32,1,32,33
33,33,2,1,32
34,34,2,2,31
35,35,2,3,30
36,36,2,4,29
37,37,2,5,28
38,38,2,6,27
39,39,2,7,26
40,40,2,8,25
41,41,2,9,24
42,42,2,10,23
43,43,2,11,22
44,44,2,12,21
45,45,2,13,20
46,46,2,14,19
47,47,2,15,18
48,48,2,16,17
49,33,2,1,33
50,34,2,2,34
51,35,2,3,35
52,36,2,4,36
53,37,2,5,37
54,38,2,6,38
55,39,2,7,39
56,40,2,8,40
57,41,2,9,41
58,42,2,10,42
59,43,2,11,43
60,44,2,12,44
61,45,2,13,45
62,46,2,14,46
63,47,2,15,47
64,48,2,16,48
65,33,2,64,32
66,34,2,63,31
67,35,2,62,30
68,36,2,61,29
69,37,2,60,28
70,38,2,59,27
71,39,2,58,26
72,40,2,57,25
73,41,2,56,24
74,42,2,55,23
75,43,2,54,22
76,44,2,53,21
77,45,2,52,20
78,46,2,51,19
79,47,2,50,18
80,48,2,49,17
81,33,2,64,33
82,34,2,63,34
83,35,2,62,35
84,36,2,61,36
85,37,2,60,37
86,38,2,59,38
87,39,2,58,39
88,40,2,57,40
89,41,2,56,41
90,42,2,55,42
91,43,2,54,43
92,44,2,53,44
93,45,2,52,45
94,46,2,51,46
95,47,2,50,47
96,48,2,49,48
97,49,3,1,16
98,50,3,2,15
99,51,3,3,14
100,52,3,4,13
101,53,3,5,12
102,54,3,6,11
103,55,3,7,10
104,56,3,8,9
105,49,3,1,17
106,50,3,2,18
107,51,3,3,19
108,52,3,4,20
109,53,3,5,21
110,54,3,6,22
111,55,3,7,23
112,56,3,8,24
113,49,3,1,48
114,50,3,2,47
115,51,3,3,46
116,52,3,4,45
117,53,3,5,44
118,54,3,6,43
119,55,3,7,42
120,56,3,8,41
121,49,3,1,49
122,50,3,2,50
123,51,3,3,51
124,52,3,4,52
125,53,3,5,53
126,54,3,6,54
127,55,3,7,55
128,56,3,8,56
129,49,3,32,16
130,50,3,31,15
131,51,3,30,14
132,52,3,29,13
133,53,3,28,12
134,54,3,27,11
135,55,3,26,10
136,56,3,25,9
137,49,3,32,17
138,50,3,31,18
139,51,3,30,19
140,52,3,29,20
141,53,3,28,21
142,54,3,27,22
143,55,3,26,23
144,56,3,25,24
145,49,3,32,48
146,50,3,31,47
147,51,3,30,46
148,52,3,29,45
149,53,3,28,44
150,54,3,27,43
151,55,3,26,42
152,56,3,25,41
153,49,3,32,49
154,50,3,31,50
155,51,3,30,51
156,52,3,29,52
157,53,3,28,53
158,54,3,27,54
159,55,3,26,55
160,56,3,25,56
161,49,3,33,16
162,50,3,34,15
163,51,3,35,14
164,52,3,36,13
165,53,3,37,12
166,54,3,38,11
167,55,3,39,10
168,56,3,40,9
169,49,3,33,17
170,50,3,34,18
171,51,3,35,19
172,52,3,36,20
173,53,3,37,21
174,54,3,38,22
175,55,3,39,23
176,56,3,40,24
177,49,3,33,48
178,50,3,34,47
179,51,3,35,46
180,52,3,36,45
181,53,3,37,44
182,54,3,38,43
183,55,3,39,42
184,56,3,40,41
185,49,3,33,49
186,50,3,34,50
187,51,3,35,51
188,52,3,36,52
189,53,3,37,53
190,54,3,38,54
191,55,3,39,55
192,56,3,40,56
193,49,3,64,16
