id,sport_id,team,region_id
1,1,Algeria,1
2,1,Angola,1
3,2,Angola,1
4,1,Argentina,2
5,2,Argentina,2
6,3,Argentina,2
7,4,Argentina,2
8,3,Australia,5
9,1,Austria,4
10,2,Austria,4
11,1,Bahrain,3
12,1,Belgium,4
13,4,Belgium,4
14,1,Bosnia and Herzegovina,4
15,1,Brazil,2
16,2,Brazil,2
17,4,Brazil,2
18,4,Bulgaria,4
19,1,Cameroon,1
20,2,Cameroon,1
21,2,Canada,2
22,3,Canada,2
23,4,Canada,2
24,1,Cape Verde,1
25,1,Chile,2
26,2,Chile,2
27,3,Chile,2
28,1,China,3
29,2,China,3
30,4,China,3
31,1,Congo,1
32,2,Congo,1
33,1,Croatia,4
34,2,Croatia,4
35,1,Cuba,2
36,2,Cuba,2
37,4,Cuba,2
38,1,Czech Republic,4
39,2,Czech Republic,4
40,4,Czech Republic,4
41,1,Denmark,4
42,2,Denmark,4
43,1,Dominican Republic,2
44,1,DR Congo,1
45,1,Egypt,1
46,4,Egypt,1
47,1,Faroe Islands,4
48,3,Fiji,5
49,4,Finland,4
50,1,France,4
51,2,France,4
52,3,France,4
53,1,Gabon,1
54,1,Georgia,4
55,1,Germany,4
56,2,Germany,4
57,3,Germany,4
58,4,Germany,4
59,2,Great Britain,4
60,3,Great Britain,4
61,1,Greece,4
62,2,Greenland,2
63,1,Guinea,1
64,1,Hungary,4
65,2,Hungary,4
66,1,Iceland,4
67,2,Iceland,4
68,1,India,3
69,2,India,3
70,1,Iran,3
71,2,Iran,3
72,4,Iran,3
73,3,Ireland,4
74,4,Italy,4
75,1,Japan,3
76,2,Japan,3
77,3,Japan,3
78,4,Japan,3
79,1,Kazakhstan,3
80,2,Kazakhstan,3
81,1,Kenya,1
82,3,Kenya,1
83,1,Kuwait,3
84,1,Libya,1
85,1,Mexico,2
86,4,Mexico,2
87,1,Montenegro,4
88,2,Montenegro,4
89,1,Morocco,1
90,1,Netherlands,4
91,2,Netherlands,4
92,4,Netherlands,4
93,3,New Zealand,5
94,1,Nigeria,1
95,1,North Macedonia,4
96,2,North Macedonia,4
97,1,Norway,4
98,2,Norway,4
99,2,Paraguay,2
100,1,Poland,4
101,2,Poland,4
102,4,Poland,4
103,1,Portugal,4
104,2,Puerto Rico,2
105,1,Qatar,3
106,4,Qatar,3
107,1,Romania,4
108,2,Romania,4
109,1,Rwanda,1
110,3,Samoa,5
111,1,Saudi Arabia,3
112,2,Senegal,1
113,1,Serbia,4
114,2,Serbia,4
115,4,Serbia,4
116,1,Slovenia,4
117,2,Slovenia,4
118,4,Slovenia,4
119,3,South Africa,1
120,1,South Korea,3
121,2,South Korea,3
122,1,Spain,4
123,2,Spain,4
124,3,Spain,4
125,1,Sweden,4
126,2,Sweden,4
127,1,Switzerland,4
128,2,Switzerland,4
129,1,Tunisia,1
130,4,Tunisia,1
131,4,Turkey,4
132,2,Ukraine,4
133,4,Ukraine,4
134,1,United Arab Emirates,3
135,1,United States,2
136,3,United States,2
137,4,United States,2
138,1,Uruguay,2
139,2,Uruguay,2
140,3,Uruguay,2
141,1,Zambia,1
