id,sport_id,tournament_id,tournament_match_id,team_a,team_b,score_a,score_b,subscore_a,subscore_b
1,2,1,1,Hungary,Switzerland,33,28,,
2,2,1,2,Norway,Croatia,32,23,,
3,2,1,3,Croatia,Hungary,21,18,,
4,2,1,4,Switzerland,Norway,21,38,,
5,2,1,5,Croatia,Switzerland,26,26,,
6,2,1,6,Norway,Hungary,32,22,,
7,2,1,7,Denmark,Slovenia,26,28,,
8,2,1,8,Sweden,Serbia,27,21,,
9,2,1,9,Slovenia,Sweden,22,33,,
10,2,1,10,Serbia,Denmark,21,34,,
11,2,1,11,Slovenia,Serbia,27,24,,
12,2,1,12,Denmark,Sweden,25,23,,
13,2,1,13,France,North Macedonia,24,14,,
14,2,1,14,Netherlands,Romania,29,28,,
15,2,1,15,North Macedonia,Netherlands,15,30,,
16,2,1,16,Romania,France,21,35,,
17,2,1,17,North Macedonia,Romania,23,31,,
18,2,1,18,France,Netherlands,26,24,,
19,2,1,19,Montenegro,Spain,30,23,,
20,2,1,20,Poland,Germany,23,25,,
21,2,1,21,Germany,Montenegro,25,29,,
22,2,1,22,Spain,Poland,21,22,,
23,2,1,23,Poland,Montenegro,23,26,,
24,2,1,24,Germany,Spain,21,23,,
25,2,1,25,Croatia,Slovenia,18,26,,
26,2,1,26,Hungary,Denmark,27,29,,
27,2,1,27,Croatia,Denmark,17,26,,
28,2,1,28,Norway,Sweden,27,25,,
29,2,1,29,Norway,Slovenia,26,23,,
30,2,1,30,Hungary,Sweden,25,30,,
31,2,1,31,Hungary,Slovenia,29,25,,
32,2,1,32,Croatia,Sweden,27,31,,
33,2,1,33,Norway,Denmark,29,31,,
34,2,1,34,Netherlands,Germany,28,36,,
35,2,1,35,Romania,Spain,28,27,,
36,2,1,36,Netherlands,Spain,29,29,,
37,2,1,37,France,Montenegro,27,19,,
38,2,1,38,Romania,Montenegro,34,35,,
39,2,1,39,France,Germany,29,21,,
40,2,1,40,Romania,Germany,28,32,,
41,2,1,41,Netherlands,Montenegro,42,25,,
42,2,1,42,France,Spain,36,23,,
43,2,1,43,Sweden,Netherlands,37,32,,
44,2,1,44,Denmark,Montenegro,27,23,,
45,2,1,45,Norway,France,28,20,,
46,2,1,46,Montenegro,France,27,25,,
47,2,1,47,Denmark,Norway,25,27,,
48,1,2,1,Chile,Iran,24,25,,
49,1,2,2,Spain,Montenegro,30,25,,
50,1,2,3,Montenegro,Iran,34,31,,
51,1,2,4,Spain,Chile,34,26,,
52,1,2,5,Montenegro,Chile,35,33,,
53,1,2,6,Iran,Spain,22,35,,
54,1,2,7,France,Poland,26,24,,
55,1,2,8,Saudi Arabia,Slovenia,19,33,,
56,1,2,9,France,Saudi Arabia,41,23,,
57,1,2,10,Poland,Slovenia,23,32,,
58,1,2,11,Slovenia,France,31,35,,
59,1,2,12,Poland,Saudi Arabia,27,24,,
60,1,2,13,Cape Verde,Uruguay,33,25,,
61,1,2,14,Sweden,Brazil,26,18,,
62,1,2,15,Brazil,Uruguay,35,24,,
63,1,2,16,Sweden,Cape Verde,34,27,,
64,1,2,17,Brazil,Cape Verde,30,28,,
65,1,2,18,Uruguay,Sweden,12,47,,
66,1,2,19,Hungary,South Korea,35,27,,
67,1,2,20,Iceland,Portugal,30,26,,
68,1,2,21,Portugal,South Korea,32,24,,
69,1,2,22,Iceland,Hungary,28,30,,
70,1,2,23,South Korea,Iceland,25,38,,
71,1,2,24,Portugal,Hungary,27,20,,
72,1,2,25,Germany,Qatar,31,27,,
73,1,2,26,Serbia,Algeria,36,27,,
74,1,2,27,Germany,Serbia,34,33,,
75,1,2,28,Qatar,Algeria,29,24,,
76,1,2,29,Algeria,Germany,21,37,,
77,1,2,30,Qatar,Serbia,24,34,,
78,1,2,31,Argentina,Netherlands,19,29,,
79,1,2,32,Norway,North Macedonia,39,27,,
80,1,2,33,North Macedonia,Netherlands,24,34,,
81,1,2,34,Norway,Argentina,32,21,,
82,1,2,35,North Macedonia,Argentina,26,35,,
