replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
5304fca0-5996-4f88-a42a-405c2d7c4d81;7897;DFH Stadium;2025-01-10 15:13:31;loss;SAVE THE GAME;GEEKAY ESPORTS;AztraL;23;Octane;485;1;0;2;2;15;2;1;50;427;44.36;3117;2123;994;23;86;479;167;312;2;23;59.68;65.19;301;240;32;1526;664915;207.83;46.1;186.93;41.46;56.08;12.44;242.84;53.87;150.93;33.48;57.05;12.65;11.26;0.1;111;149.6;33.24;130.7;29.04;107.99;23.95;342.84;76.05;107.99;23.95;322.98;71.64;127.85;28.36;229.27;50.86;166.42;36.91;55.13;12.23;2412;2089;2786;3135;1;0
5304fca0-5996-4f88-a42a-405c2d7c4d81;7897;DFH Stadium;2025-01-10 15:13:31;loss;SAVE THE GAME;GEEKAY ESPORTS;Extra;4284;Fennec;533;0;0;6;1;15;2;1;0;425;43.24;3113;2193;920;25;82;490;263;227;3;20;82.96;25.78;560;329;45;1501;654211;213.7;47.4;168.72;37.42;68.42;15.18;241.13;53.49;174.57;38.72;35.13;7.79;10.72;0.11;97;145.4;32.31;126.3;28.07;120.22;26.67;330.61;73.33;120.22;26.67;313.9;69.63;136.93;30.37;230.79;51.19;149.23;33.1;70.81;15.71;2285;2251;2333;3079;0;0
5304fca0-5996-4f88-a42a-405c2d7c4d81;7897;DFH Stadium;2025-01-10 15:13:31;loss;SAVE THE GAME;GEEKAY ESPORTS;mtzR.;4284;Fennec;334;0;0;2;4;15;2;0;0;345;45.43;2571;1334;1237;14;111;694;394;300;4;25;36.03;35.71;225;109;5;1538;660524;200.95;45.18;179.23;40.29;64.62;14.53;229.67;51.63;170.64;38.36;44.5;10;8.3;0.11;75;140.5;31.22;178.5;39.67;149.68;33.65;295.12;66.35;149.68;33.65;301.03;67.68;143.78;32.32;224.48;50.47;139.9;31.45;80.42;18.08;2498;2481;2498;3155;3;2
5304fca0-5996-4f88-a42a-405c2d7c4d81;7897;DFH Stadium;2025-01-10 15:13:31;win;GEEKAY ESPORTS;SAVE THE GAME;Archie;23;Octane;432;1;0;2;7;7;1;1;14.29;388;53.64;2887;1984;903;25;84;727;465;262;5;24;44.52;49.71;440;558;50;1565;677276;200.84;44.85;168.62;37.66;78.32;17.49;262.4;58.6;155.14;34.65;30.25;6.76;6.7;0.13;53;161.1;35.8;138.7;30.82;85.5;19.09;362.28;80.91;85.5;19.09;278.23;62.14;169.55;37.86;187.65;41.91;148.81;33.23;111.33;24.86;2795;2656;2868;3551;0;1
5304fca0-5996-4f88-a42a-405c2d7c4d81;7897;DFH Stadium;2025-01-10 15:13:31;win;GEEKAY ESPORTS;SAVE THE GAME;Joyo;4284;Fennec;513;0;2;3;3;7;1;0;0;438;50.84;3110;2151;959;25;86;1069;687;382;8;34;37.24;70.44;399;381;112;1543;668046;202.87;45.3;172.25;38.46;72.7;16.23;254.52;56.83;147.36;32.91;45.95;10.26;14.41;0.12;119;115.4;25.64;154.1;34.24;104.34;23.3;343.49;76.7;104.34;23.3;267.8;59.8;180.03;40.2;173.12;38.66;160.63;35.87;114.08;25.47;2825;2489;2979;3741;0;1
5304fca0-5996-4f88-a42a-405c2d7c4d81;7897;DFH Stadium;2025-01-10 15:13:31;win;GEEKAY ESPORTS;SAVE THE GAME;oaly.;4284;Fennec;404;1;0;1;5;7;1;0;20;460;50.14;3399;2526;873;33;78;507;293;214;4;19;47.37;48.9;639;789;106;1628;699633;176.03;39.58;177.81;39.98;90.96;20.45;268.35;60.33;146.45;32.92;30;6.74;9.39;0.11;83;167.7;37.27;139.8;31.07;101.55;22.83;343.25;77.17;101.55;22.83;279.53;62.84;165.27;37.16;188.77;42.44;169.31;38.06;86.72;19.5;2998;2849;3097;3774;2;2
9e8c4d54-4de7-4d4b-8508-eb704eeecaf0;GAME 1 RUST EZ;DFH Stadium;2025-01-10 15:16:39;win;KARMINE CORP;SELECAO;Atow.;4284;Fennec;358;2;1;0;4;5;1;0;50;485;50.68;2559;1703;856;22;81;514;288;226;4;22;9.89;36.46;562;533;119;1688;550735;127.51;36.61;151.31;43.44;69.51;19.96;203.09;58.3;118.08;33.9;27.16;7.8;7.96;0.1;81;83.6;23.62;112.3;31.72;100.66;28.9;247.67;71.1;100.66;28.9;212.26;60.94;136.03;39.06;149.13;42.81;124.79;35.83;74.41;21.36;2772;2791;2813;3649;2;2
9e8c4d54-4de7-4d4b-8508-eb704eeecaf0;GAME 1 RUST EZ;DFH Stadium;2025-01-10 15:16:39;win;KARMINE CORP;SELECAO;dralii;4284;Fennec;387;1;1;1;2;5;1;0;50;442;47.83;2536;1476;1060;17;86;858;569;289;6;27;24.7;29.22;306;253;35;1643;540963;133.84;38.09;151.91;43.23;65.63;18.68;179.88;51.19;137.92;39.25;33.58;9.56;8.1;0.1;81;95;26.84;128.6;36.33;93.43;26.59;257.95;73.41;93.43;26.59;212.36;60.44;139.02;39.56;154.34;43.93;114.52;32.59;82.51;23.48;2712;2710;2736;3559;1;1
9e8c4d54-4de7-4d4b-8508-eb704eeecaf0;GAME 1 RUST EZ;DFH Stadium;2025-01-10 15:16:39;win;KARMINE CORP;SELECAO;Vatira;4284;Fennec;463;1;0;2;3;5;1;1;33.33;405;44.35;2429;1473;956;17;69;318;0;318;0;21;49.98;35.84;312;233;0;1536;510090;170.66;48.16;124.39;35.1;59.34;16.74;193.53;54.61;144.27;40.71;16.6;4.68;9.02;0.11;81;162;45.76;91;25.71;68.31;19.28;286.08;80.72;68.31;19.28;258.2;72.86;96.2;27.14;197.06;55.6;107.75;30.4;49.59;13.99;2924;3017;2818;3719;2;0
9e8c4d54-4de7-4d4b-8508-eb704eeecaf0;GAME 1 RUST EZ;DFH Stadium;2025-01-10 15:16:39;loss;SELECAO;KARMINE CORP;Ever. .;4284;Fennec;395;1;0;2;3;9;4;0;33.33;445;50.87;2637;1809;828;20;76;549;334;215;4;20;56.77;23.37;547;222;75;1597;521219;151.85;43.59;132.25;37.96;64.29;18.45;193.65;55.59;135.94;39.02;18.79;5.39;8.11;0.1;78;97.9;27.66;115.1;32.51;100.11;28.74;248.27;71.26;100.11;28.74;232.55;66.75;115.84;33.25;174.37;50.05;105.33;30.23;68.68;19.71;2647;2395;2828;3618;0;2
